REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRCSPINDEA,S1D1,2023,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2024,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2025,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2026,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2027,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2028,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2029,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2030,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2031,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2032,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2033,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2034,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2035,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2036,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2037,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2038,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2039,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2040,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2041,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2042,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2043,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2044,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2045,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2046,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2047,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2048,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2049,0.8439
GLOBAL,PWRCSPINDEA,S1D1,2050,0.8439
GLOBAL,PWRCSPINDEA,S1D2,2023,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2024,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2025,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2026,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2027,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2028,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2029,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2030,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2031,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2032,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2033,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2034,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2035,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2036,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2037,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2038,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2039,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2040,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2041,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2042,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2043,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2044,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2045,0.1719
GLOBAL,PWRCSPINDEA,S1D2,2046,0.1719
