REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKBGDXX,31.536
GLOBAL,PWRBCKINDEA,31.536
GLOBAL,PWRBIOBGDXX,31.536
GLOBAL,PWRBIOINDEA,31.536
GLOBAL,PWRCCSBGDXX,31.536
GLOBAL,PWRCCSINDEA,31.536
GLOBAL,PWRCOABGDXX,31.536
GLOBAL,PWRCOAINDEA,31.536
GLOBAL,PWRCOGBGDXX,31.536
GLOBAL,PWRCOGINDEA,31.536
GLOBAL,PWRCSPINDEA,31.536
GLOBAL,PWRHYDBGDXX,31.536
GLOBAL,PWRHYDINDEA,31.536
GLOBAL,PWRLDSBGDXX,31.536
GLOBAL,PWRLDSINDEA,31.536
GLOBAL,PWRNGSINDEA,31.536
GLOBAL,PWROILBGDXX,31.536
GLOBAL,PWROILINDEA,31.536
GLOBAL,PWROTHBGDXX,31.536
GLOBAL,PWROTHINDEA,31.536
GLOBAL,PWRPETBGDXX,31.536
GLOBAL,PWRPETINDEA,31.536
GLOBAL,PWRSDSBGDXX,31.536
GLOBAL,PWRSDSINDEA,31.536
GLOBAL,PWRSPVBGDXX,31.536
GLOBAL,PWRSPVINDEA,31.536
GLOBAL,PWRTRNBGDXX,31.536
GLOBAL,PWRTRNINDEA,31.536
GLOBAL,PWRURNBGDXX,31.536
GLOBAL,PWRURNINDEA,31.536
GLOBAL,PWRWASBGDXX,31.536
GLOBAL,PWRWASINDEA,31.536
GLOBAL,PWRWOFBGDXX,31.536
GLOBAL,PWRWOFINDEA,31.536
GLOBAL,PWRWONBGDXX,31.536
GLOBAL,PWRWONINDEA,31.536
GLOBAL,TRNBGDXXINDEA,31.536
