REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBCKBGDXX,2023,999999.0
GLOBAL,PWRBCKBGDXX,2024,999999.0
GLOBAL,PWRBCKBGDXX,2025,999999.0
GLOBAL,PWRBCKBGDXX,2026,999999.0
GLOBAL,PWRBCKBGDXX,2027,999999.0
GLOBAL,PWRBCKBGDXX,2028,999999.0
GLOBAL,PWRBCKBGDXX,2029,999999.0
GLOBAL,PWRBCKBGDXX,2030,999999.0
GLOBAL,PWRBCKBGDXX,2031,999999.0
GLOBAL,PWRBCKBGDXX,2032,999999.0
GLOBAL,PWRBCKBGDXX,2033,999999.0
GLOBAL,PWRBCKBGDXX,2034,999999.0
GLOBAL,PWRBCKBGDXX,2035,999999.0
GLOBAL,PWRBCKBGDXX,2036,999999.0
GLOBAL,PWRBCKBGDXX,2037,999999.0
GLOBAL,PWRBCKBGDXX,2038,999999.0
GLOBAL,PWRBCKBGDXX,2039,999999.0
GLOBAL,PWRBCKBGDXX,2040,999999.0
GLOBAL,PWRBCKBGDXX,2041,999999.0
GLOBAL,PWRBCKBGDXX,2042,999999.0
GLOBAL,PWRBCKBGDXX,2043,999999.0
GLOBAL,PWRBCKBGDXX,2044,999999.0
GLOBAL,PWRBCKBGDXX,2045,999999.0
GLOBAL,PWRBCKBGDXX,2046,999999.0
GLOBAL,PWRBCKBGDXX,2047,999999.0
GLOBAL,PWRBCKBGDXX,2048,999999.0
GLOBAL,PWRBCKBGDXX,2049,999999.0
GLOBAL,PWRBCKBGDXX,2050,999999.0
GLOBAL,PWRBCKINDEA,2023,999999.0
GLOBAL,PWRBCKINDEA,2024,999999.0
GLOBAL,PWRBCKINDEA,2025,999999.0
GLOBAL,PWRBCKINDEA,2026,999999.0
GLOBAL,PWRBCKINDEA,2027,999999.0
GLOBAL,PWRBCKINDEA,2028,999999.0
GLOBAL,PWRBCKINDEA,2029,999999.0
GLOBAL,PWRBCKINDEA,2030,999999.0
GLOBAL,PWRBCKINDEA,2031,999999.0
GLOBAL,PWRBCKINDEA,2032,999999.0
GLOBAL,PWRBCKINDEA,2033,999999.0
GLOBAL,PWRBCKINDEA,2034,999999.0
GLOBAL,PWRBCKINDEA,2035,999999.0
GLOBAL,PWRBCKINDEA,2036,999999.0
GLOBAL,PWRBCKINDEA,2037,999999.0
GLOBAL,PWRBCKINDEA,2038,999999.0
GLOBAL,PWRBCKINDEA,2039,999999.0
GLOBAL,PWRBCKINDEA,2040,999999.0
GLOBAL,PWRBCKINDEA,2041,999999.0
GLOBAL,PWRBCKINDEA,2042,999999.0
GLOBAL,PWRBCKINDEA,2043,999999.0
GLOBAL,PWRBCKINDEA,2044,999999.0
GLOBAL,PWRBCKINDEA,2045,999999.0
GLOBAL,PWRBCKINDEA,2046,999999.0
GLOBAL,PWRBCKINDEA,2047,999999.0
GLOBAL,PWRBCKINDEA,2048,999999.0
GLOBAL,PWRBCKINDEA,2049,999999.0
GLOBAL,PWRBCKINDEA,2050,999999.0
GLOBAL,PWRBIOBGDXX,2023,2037.5
GLOBAL,PWRBIOBGDXX,2024,2037.5
GLOBAL,PWRBIOBGDXX,2025,2037.5
GLOBAL,PWRBIOBGDXX,2026,2037.5
GLOBAL,PWRBIOBGDXX,2027,2037.5
GLOBAL,PWRBIOBGDXX,2028,2037.5
GLOBAL,PWRBIOBGDXX,2029,2037.5
GLOBAL,PWRBIOBGDXX,2030,2037.5
GLOBAL,PWRBIOBGDXX,2031,2035.0
GLOBAL,PWRBIOBGDXX,2032,2032.5
GLOBAL,PWRBIOBGDXX,2033,2030.0
GLOBAL,PWRBIOBGDXX,2034,2027.5
GLOBAL,PWRBIOBGDXX,2035,2025.0
GLOBAL,PWRBIOBGDXX,2036,2022.5
GLOBAL,PWRBIOBGDXX,2037,2020.0
GLOBAL,PWRBIOBGDXX,2038,2017.5
