REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSBGDXX01,2023,52694.444444444445
GLOBAL,LDSBGDXX01,2024,52694.444444444445
GLOBAL,LDSBGDXX01,2025,52694.444444444445
GLOBAL,LDSBGDXX01,2026,52694.444444444445
GLOBAL,LDSBGDXX01,2027,52694.444444444445
GLOBAL,LDSBGDXX01,2028,52694.444444444445
GLOBAL,LDSBGDXX01,2029,52694.444444444445
GLOBAL,LDSBGDXX01,2030,52694.444444444445
GLOBAL,LDSBGDXX01,2031,52694.444444444445
GLOBAL,LDSBGDXX01,2032,52694.444444444445
GLOBAL,LDSBGDXX01,2033,52694.444444444445
GLOBAL,LDSBGDXX01,2034,52694.444444444445
GLOBAL,LDSBGDXX01,2035,52694.444444444445
GLOBAL,LDSBGDXX01,2036,52694.444444444445
GLOBAL,LDSBGDXX01,2037,52694.444444444445
GLOBAL,LDSBGDXX01,2038,52694.444444444445
GLOBAL,LDSBGDXX01,2039,52694.444444444445
GLOBAL,LDSBGDXX01,2040,52694.444444444445
GLOBAL,LDSBGDXX01,2041,52694.444444444445
GLOBAL,LDSBGDXX01,2042,52694.444444444445
GLOBAL,LDSBGDXX01,2043,52694.444444444445
GLOBAL,LDSBGDXX01,2044,52694.444444444445
GLOBAL,LDSBGDXX01,2045,52694.444444444445
GLOBAL,LDSBGDXX01,2046,52694.444444444445
GLOBAL,LDSBGDXX01,2047,52694.444444444445
GLOBAL,LDSBGDXX01,2048,52694.444444444445
GLOBAL,LDSBGDXX01,2049,52694.444444444445
GLOBAL,LDSBGDXX01,2050,52694.444444444445
GLOBAL,LDSINDEA01,2023,52694.444444444445
GLOBAL,LDSINDEA01,2024,52694.444444444445
GLOBAL,LDSINDEA01,2025,52694.444444444445
GLOBAL,LDSINDEA01,2026,52694.444444444445
GLOBAL,LDSINDEA01,2027,52694.444444444445
GLOBAL,LDSINDEA01,2028,52694.444444444445
GLOBAL,LDSINDEA01,2029,52694.444444444445
GLOBAL,LDSINDEA01,2030,52694.444444444445
GLOBAL,LDSINDEA01,2031,52694.444444444445
GLOBAL,LDSINDEA01,2032,52694.444444444445
GLOBAL,LDSINDEA01,2033,52694.444444444445
GLOBAL,LDSINDEA01,2034,52694.444444444445
GLOBAL,LDSINDEA01,2035,52694.444444444445
GLOBAL,LDSINDEA01,2036,52694.444444444445
GLOBAL,LDSINDEA01,2037,52694.444444444445
GLOBAL,LDSINDEA01,2038,52694.444444444445
GLOBAL,LDSINDEA01,2039,52694.444444444445
GLOBAL,LDSINDEA01,2040,52694.444444444445
GLOBAL,LDSINDEA01,2041,52694.444444444445
GLOBAL,LDSINDEA01,2042,52694.444444444445
GLOBAL,LDSINDEA01,2043,52694.444444444445
GLOBAL,LDSINDEA01,2044,52694.444444444445
GLOBAL,LDSINDEA01,2045,52694.444444444445
GLOBAL,LDSINDEA01,2046,52694.444444444445
GLOBAL,LDSINDEA01,2047,52694.444444444445
GLOBAL,LDSINDEA01,2048,52694.444444444445
GLOBAL,LDSINDEA01,2049,52694.444444444445
GLOBAL,LDSINDEA01,2050,52694.444444444445
GLOBAL,SDSBGDXX01,2023,67291.66666666667
GLOBAL,SDSBGDXX01,2024,67291.66666666667
GLOBAL,SDSBGDXX01,2025,67291.66666666667
GLOBAL,SDSBGDXX01,2026,67291.66666666667
GLOBAL,SDSBGDXX01,2027,67291.66666666667
GLOBAL,SDSBGDXX01,2028,67291.66666666667
GLOBAL,SDSBGDXX01,2029,67291.66666666667
GLOBAL,SDSBGDXX01,2030,67291.66666666667
GLOBAL,SDSBGDXX01,2031,67291.66666666667
GLOBAL,SDSBGDXX01,2032,67291.66666666667
GLOBAL,SDSBGDXX01,2033,67291.66666666667
GLOBAL,SDSBGDXX01,2034,67291.66666666667
GLOBAL,SDSBGDXX01,2035,67291.66666666667
GLOBAL,SDSBGDXX01,2036,67291.66666666667
GLOBAL,SDSBGDXX01,2037,67291.66666666667
GLOBAL,SDSBGDXX01,2038,67291.66666666667
GLOBAL,SDSBGDXX01,2039,67291.66666666667
GLOBAL,SDSBGDXX01,2040,67291.66666666667
GLOBAL,SDSBGDXX01,2041,67291.66666666667
GLOBAL,SDSBGDXX01,2042,67291.66666666667
GLOBAL,SDSBGDXX01,2043,67291.66666666667
GLOBAL,SDSBGDXX01,2044,67291.66666666667
GLOBAL,SDSBGDXX01,2045,67291.66666666667
GLOBAL,SDSBGDXX01,2046,67291.66666666667
GLOBAL,SDSBGDXX01,2047,67291.66666666667
GLOBAL,SDSBGDXX01,2048,67291.66666666667
GLOBAL,SDSBGDXX01,2049,67291.66666666667
GLOBAL,SDSBGDXX01,2050,67291.66666666667
GLOBAL,SDSINDEA01,2023,67291.66666666667
GLOBAL,SDSINDEA01,2024,67291.66666666667
GLOBAL,SDSINDEA01,2025,67291.66666666667
GLOBAL,SDSINDEA01,2026,67291.66666666667
GLOBAL,SDSINDEA01,2027,67291.66666666667
GLOBAL,SDSINDEA01,2028,67291.66666666667
GLOBAL,SDSINDEA01,2029,67291.66666666667
GLOBAL,SDSINDEA01,2030,67291.66666666667
GLOBAL,SDSINDEA01,2031,67291.66666666667
GLOBAL,SDSINDEA01,2032,67291.66666666667
GLOBAL,SDSINDEA01,2033,67291.66666666667
GLOBAL,SDSINDEA01,2034,67291.66666666667
GLOBAL,SDSINDEA01,2035,67291.66666666667
GLOBAL,SDSINDEA01,2036,67291.66666666667
GLOBAL,SDSINDEA01,2037,67291.66666666667
GLOBAL,SDSINDEA01,2038,67291.66666666667
GLOBAL,SDSINDEA01,2039,67291.66666666667
GLOBAL,SDSINDEA01,2040,67291.66666666667
GLOBAL,SDSINDEA01,2041,67291.66666666667
GLOBAL,SDSINDEA01,2042,67291.66666666667
GLOBAL,SDSINDEA01,2043,67291.66666666667
GLOBAL,SDSINDEA01,2044,67291.66666666667
GLOBAL,SDSINDEA01,2045,67291.66666666667
GLOBAL,SDSINDEA01,2046,67291.66666666667
GLOBAL,SDSINDEA01,2047,67291.66666666667
GLOBAL,SDSINDEA01,2048,67291.66666666667
GLOBAL,SDSINDEA01,2049,67291.66666666667
GLOBAL,SDSINDEA01,2050,67291.66666666667
