REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOBGDXX,30.0
GLOBAL,PWRBIOINDEA,30.0
GLOBAL,PWRCCSBGDXX,30.0
GLOBAL,PWRCCSINDEA,30.0
GLOBAL,PWRCOABGDXX,30.0
GLOBAL,PWRCOAINDEA,30.0
GLOBAL,PWRCOGBGDXX,30.0
GLOBAL,PWRCOGINDEA,30.0
GLOBAL,PWRCSPINDEA,30.0
GLOBAL,PWRHYDBGDXX,100.0
GLOBAL,PWRHYDINDEA,100.0
GLOBAL,PWRLDSBGDXX,60.0
GLOBAL,PWRLDSINDEA,60.0
GLOBAL,PWRNGSINDEA,30.0
GLOBAL,PWROILBGDXX,30.0
GLOBAL,PWROILINDEA,30.0
GLOBAL,PWROTHBGDXX,30.0
GLOBAL,PWROTHINDEA,30.0
GLOBAL,PWRPETBGDXX,30.0
GLOBAL,PWRPETINDEA,30.0
GLOBAL,PWRSDSBGDXX,30.0
GLOBAL,PWRSDSINDEA,30.0
GLOBAL,PWRSPVBGDXX,30.0
GLOBAL,PWRSPVINDEA,30.0
GLOBAL,PWRURNBGDXX,60.0
GLOBAL,PWRURNINDEA,60.0
GLOBAL,PWRWASBGDXX,30.0
GLOBAL,PWRWASINDEA,30.0
GLOBAL,PWRWOFBGDXX,30.0
GLOBAL,PWRWOFINDEA,30.0
GLOBAL,PWRWONBGDXX,30.0
GLOBAL,PWRWONINDEA,30.0
GLOBAL,TRNBGDXXINDEA,60.0
