REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCOABGDXX,2023.0,0.25
GLOBAL,PWRCOABGDXX,2024.0,0.25
GLOBAL,PWRCOABGDXX,2025.0,0.25
GLOBAL,PWRCOABGDXX,2026.0,0.25
GLOBAL,PWRCOABGDXX,2027.0,0.25
GLOBAL,PWRCOABGDXX,2028.0,0.0
GLOBAL,PWRCOABGDXX,2029.0,0.0
GLOBAL,PWRCOABGDXX,2030.0,0.0
GLOBAL,PWRCOABGDXX,2031.0,0.0
GLOBAL,PWRCOABGDXX,2032.0,0.0
GLOBAL,PWRCOABGDXX,2033.0,0.0
GLOBAL,PWRCOABGDXX,2034.0,0.0
GLOBAL,PWRCOABGDXX,2035.0,0.0
GLOBAL,PWRCOABGDXX,2036.0,0.0
GLOBAL,PWRCOABGDXX,2037.0,0.0
GLOBAL,PWRCOABGDXX,2038.0,0.0
GLOBAL,PWRCOABGDXX,2039.0,0.0
GLOBAL,PWRCOABGDXX,2040.0,0.0
GLOBAL,PWRCOABGDXX,2041.0,0.0
GLOBAL,PWRCOABGDXX,2042.0,0.0
GLOBAL,PWRCOABGDXX,2043.0,0.0
GLOBAL,PWRCOABGDXX,2044.0,0.0
GLOBAL,PWRCOABGDXX,2045.0,0.0
GLOBAL,PWRCOABGDXX,2046.0,0.0
GLOBAL,PWRCOABGDXX,2047.0,0.0
GLOBAL,PWRCOABGDXX,2048.0,0.0
GLOBAL,PWRCOABGDXX,2049.0,0.0
GLOBAL,PWRCOABGDXX,2050.0,0.0
GLOBAL,PWRCOAINDEA,2023.0,51.976
GLOBAL,PWRCOAINDEA,2024.0,55.788
GLOBAL,PWRCOAINDEA,2025.0,57.328
GLOBAL,PWRCOAINDEA,2026.0,58.213
GLOBAL,PWRCOAINDEA,2027.0,60.263
GLOBAL,PWRCOAINDEA,2028.0,59.553
GLOBAL,PWRCOAINDEA,2029.0,59.553
GLOBAL,PWRCOAINDEA,2030.0,58.4455
GLOBAL,PWRCOAINDEA,2031.0,54.6655
GLOBAL,PWRCOAINDEA,2032.0,53.468
GLOBAL,PWRCOAINDEA,2033.0,53.008
GLOBAL,PWRCOAINDEA,2034.0,52.798
GLOBAL,PWRCOAINDEA,2035.0,52.018
GLOBAL,PWRCOAINDEA,2036.0,51.658
GLOBAL,PWRCOAINDEA,2037.0,51.328
GLOBAL,PWRCOAINDEA,2038.0,51.208
GLOBAL,PWRCOAINDEA,2039.0,50.208
GLOBAL,PWRCOAINDEA,2040.0,50.208
GLOBAL,PWRCOAINDEA,2041.0,48.888
GLOBAL,PWRCOAINDEA,2042.0,48.198
GLOBAL,PWRCOAINDEA,2043.0,47.243
