REGION,FUEL,YEAR,VALUE
GLOBAL,ELCBGDXX02,2023,499.71
GLOBAL,ELCBGDXX02,2024,542.73
GLOBAL,ELCBGDXX02,2025,585.75
GLOBAL,ELCBGDXX02,2026,631.35
GLOBAL,ELCBGDXX02,2027,676.95
GLOBAL,ELCBGDXX02,2028,722.54
GLOBAL,ELCBGDXX02,2029,768.14
GLOBAL,ELCBGDXX02,2030,813.74
GLOBAL,ELCBGDXX02,2031,860.42
GLOBAL,ELCBGDXX02,2032,907.11
GLOBAL,ELCBGDXX02,2033,953.79
GLOBAL,ELCBGDXX02,2034,1000.48
GLOBAL,ELCBGDXX02,2035,1047.16
GLOBAL,ELCBGDXX02,2036,1094.98
GLOBAL,ELCBGDXX02,2037,1142.8
GLOBAL,ELCBGDXX02,2038,1190.62
GLOBAL,ELCBGDXX02,2039,1238.44
GLOBAL,ELCBGDXX02,2040,1286.25
GLOBAL,ELCBGDXX02,2041,1334.01
GLOBAL,ELCBGDXX02,2042,1381.76
GLOBAL,ELCBGDXX02,2043,1429.51
GLOBAL,ELCBGDXX02,2044,1477.26
GLOBAL,ELCBGDXX02,2045,1525.02
GLOBAL,ELCBGDXX02,2046,1574.01
GLOBAL,ELCBGDXX02,2047,1623.01
GLOBAL,ELCBGDXX02,2048,1672.0
GLOBAL,ELCBGDXX02,2049,1721.0
GLOBAL,ELCBGDXX02,2050,1769.99
GLOBAL,ELCINDEA02,2023,717.27
GLOBAL,ELCINDEA02,2024,772.87
GLOBAL,ELCINDEA02,2025,954.61
GLOBAL,ELCINDEA02,2026,981.6
GLOBAL,ELCINDEA02,2027,1012.38
GLOBAL,ELCINDEA02,2028,1043.24
GLOBAL,ELCINDEA02,2029,1074.44
GLOBAL,ELCINDEA02,2030,1105.41
GLOBAL,ELCINDEA02,2031,1174.28
GLOBAL,ELCINDEA02,2032,1243.48
GLOBAL,ELCINDEA02,2033,1314.83
GLOBAL,ELCINDEA02,2034,1381.43
GLOBAL,ELCINDEA02,2035,1450.11
GLOBAL,ELCINDEA02,2036,1531.14
GLOBAL,ELCINDEA02,2037,1612.66
GLOBAL,ELCINDEA02,2038,1693.49
GLOBAL,ELCINDEA02,2039,1771.0
GLOBAL,ELCINDEA02,2040,1847.47
GLOBAL,ELCINDEA02,2041,1935.51
GLOBAL,ELCINDEA02,2042,2025.21
GLOBAL,ELCINDEA02,2043,2114.95
GLOBAL,ELCINDEA02,2044,2202.04
GLOBAL,ELCINDEA02,2045,2289.82
GLOBAL,ELCINDEA02,2046,2400.84
GLOBAL,ELCINDEA02,2047,2502.17
GLOBAL,ELCINDEA02,2048,2603.44
GLOBAL,ELCINDEA02,2049,2704.7
GLOBAL,ELCINDEA02,2050,2805.83
