REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBGDXX,2023,0.0
GLOBAL,PWRBIOBGDXX,2024,0.0
GLOBAL,PWRBIOBGDXX,2025,0.0
GLOBAL,PWRBIOBGDXX,2026,0.0
GLOBAL,PWRBIOBGDXX,2027,0.0
GLOBAL,PWRBIOBGDXX,2028,0.0
GLOBAL,PWRBIOBGDXX,2029,0.0
GLOBAL,PWRBIOBGDXX,2030,0.0
GLOBAL,PWRBIOBGDXX,2031,0.0
GLOBAL,PWRBIOBGDXX,2032,0.0
GLOBAL,PWRBIOBGDXX,2033,0.0
GLOBAL,PWRBIOBGDXX,2034,0.0
GLOBAL,PWRBIOBGDXX,2035,0.0
GLOBAL,PWRBIOBGDXX,2036,0.0
GLOBAL,PWRBIOBGDXX,2037,0.0
GLOBAL,PWRBIOBGDXX,2038,0.0
GLOBAL,PWRBIOBGDXX,2039,0.0
GLOBAL,PWRBIOBGDXX,2040,0.0
GLOBAL,PWRBIOBGDXX,2041,0.0
GLOBAL,PWRBIOBGDXX,2042,0.0
GLOBAL,PWRBIOBGDXX,2043,0.0
GLOBAL,PWRBIOBGDXX,2044,0.0
GLOBAL,PWRBIOBGDXX,2045,0.0
GLOBAL,PWRBIOBGDXX,2046,0.0
GLOBAL,PWRBIOBGDXX,2047,0.0
GLOBAL,PWRBIOBGDXX,2048,0.0
GLOBAL,PWRBIOBGDXX,2049,0.0
GLOBAL,PWRBIOBGDXX,2050,0.0
GLOBAL,PWRBIOINDEA,2023,0.0
GLOBAL,PWRBIOINDEA,2024,0.0
GLOBAL,PWRBIOINDEA,2025,0.0
GLOBAL,PWRBIOINDEA,2026,0.0
GLOBAL,PWRBIOINDEA,2027,0.0
GLOBAL,PWRBIOINDEA,2028,0.0
GLOBAL,PWRBIOINDEA,2029,0.0
GLOBAL,PWRBIOINDEA,2030,0.0
GLOBAL,PWRBIOINDEA,2031,0.0
GLOBAL,PWRBIOINDEA,2032,0.0
GLOBAL,PWRBIOINDEA,2033,0.0
GLOBAL,PWRBIOINDEA,2034,0.0
GLOBAL,PWRBIOINDEA,2035,0.0
GLOBAL,PWRBIOINDEA,2036,0.0
GLOBAL,PWRBIOINDEA,2037,0.0
GLOBAL,PWRBIOINDEA,2038,0.0
GLOBAL,PWRBIOINDEA,2039,0.0
GLOBAL,PWRBIOINDEA,2040,0.0
GLOBAL,PWRBIOINDEA,2041,0.0
GLOBAL,PWRBIOINDEA,2042,0.0
GLOBAL,PWRBIOINDEA,2043,0.0
GLOBAL,PWRBIOINDEA,2044,0.0
GLOBAL,PWRBIOINDEA,2045,0.0
GLOBAL,PWRBIOINDEA,2046,0.0
GLOBAL,PWRBIOINDEA,2047,0.0
GLOBAL,PWRBIOINDEA,2048,0.0
GLOBAL,PWRBIOINDEA,2049,0.0
GLOBAL,PWRBIOINDEA,2050,0.0
GLOBAL,PWRCCSBGDXX,2023,0.0
GLOBAL,PWRCCSBGDXX,2024,0.0
GLOBAL,PWRCCSBGDXX,2025,0.0
GLOBAL,PWRCCSBGDXX,2026,0.0
GLOBAL,PWRCCSBGDXX,2027,0.0
GLOBAL,PWRCCSBGDXX,2028,0.0
GLOBAL,PWRCCSBGDXX,2029,0.0
GLOBAL,PWRCCSBGDXX,2030,0.0
GLOBAL,PWRCCSBGDXX,2031,0.0
GLOBAL,PWRCCSBGDXX,2032,0.0
GLOBAL,PWRCCSBGDXX,2033,0.0
GLOBAL,PWRCCSBGDXX,2034,0.0
GLOBAL,PWRCCSBGDXX,2035,0.0
GLOBAL,PWRCCSBGDXX,2036,0.0
GLOBAL,PWRCCSBGDXX,2037,0.0
GLOBAL,PWRCCSBGDXX,2038,0.0
GLOBAL,PWRCCSBGDXX,2039,0.0
GLOBAL,PWRCCSINDEA,2023,0.0
GLOBAL,PWRCCSINDEA,2024,0.0
GLOBAL,PWRCCSINDEA,2025,0.0
GLOBAL,PWRCCSINDEA,2026,0.0
GLOBAL,PWRCCSINDEA,2027,0.0
GLOBAL,PWRCCSINDEA,2028,0.0
GLOBAL,PWRCCSINDEA,2029,0.0
GLOBAL,PWRCCSINDEA,2030,0.0
GLOBAL,PWRCCSINDEA,2031,0.0
GLOBAL,PWRCCSINDEA,2032,0.0
GLOBAL,PWRCCSINDEA,2033,0.0
GLOBAL,PWRCCSINDEA,2034,0.0
GLOBAL,PWRCCSINDEA,2035,0.0
GLOBAL,PWRCCSINDEA,2036,0.0
GLOBAL,PWRCCSINDEA,2037,0.0
GLOBAL,PWRCCSINDEA,2038,0.0
GLOBAL,PWRCCSINDEA,2039,0.0
GLOBAL,PWRCOABGDXX,2023,0.0
GLOBAL,PWRCOAINDEA,2023,0.0
GLOBAL,PWRCOGBGDXX,2023,0.0
GLOBAL,PWRCOGBGDXX,2024,0.0
GLOBAL,PWRCOGBGDXX,2025,0.0
GLOBAL,PWRCOGBGDXX,2026,0.0
GLOBAL,PWRCOGBGDXX,2027,0.0
GLOBAL,PWRCOGBGDXX,2028,0.0
GLOBAL,PWRCOGBGDXX,2029,0.0
GLOBAL,PWRCOGBGDXX,2030,0.0
GLOBAL,PWRCOGBGDXX,2031,0.0
GLOBAL,PWRCOGBGDXX,2032,0.0
GLOBAL,PWRCOGBGDXX,2033,0.0
GLOBAL,PWRCOGBGDXX,2034,0.0
GLOBAL,PWRCOGBGDXX,2035,0.0
GLOBAL,PWRCOGBGDXX,2036,0.0
GLOBAL,PWRCOGBGDXX,2037,0.0
GLOBAL,PWRCOGBGDXX,2038,0.0
GLOBAL,PWRCOGBGDXX,2039,0.0
GLOBAL,PWRCOGBGDXX,2040,0.0
GLOBAL,PWRCOGBGDXX,2041,0.0
GLOBAL,PWRCOGBGDXX,2042,0.0
GLOBAL,PWRCOGBGDXX,2043,0.0
GLOBAL,PWRCOGBGDXX,2044,0.0
GLOBAL,PWRCOGBGDXX,2045,0.0
GLOBAL,PWRCOGBGDXX,2046,0.0
GLOBAL,PWRCOGBGDXX,2047,0.0
GLOBAL,PWRCOGBGDXX,2048,0.0
GLOBAL,PWRCOGBGDXX,2049,0.0
GLOBAL,PWRCOGBGDXX,2050,0.0
GLOBAL,PWRCOGINDEA,2023,0.0
GLOBAL,PWRCOGINDEA,2024,0.0
GLOBAL,PWRCOGINDEA,2025,0.0
GLOBAL,PWRCOGINDEA,2026,0.0
GLOBAL,PWRCOGINDEA,2027,0.0
GLOBAL,PWRCOGINDEA,2028,0.0
GLOBAL,PWRCOGINDEA,2029,0.0
GLOBAL,PWRCOGINDEA,2030,0.0
GLOBAL,PWRCOGINDEA,2031,0.0
GLOBAL,PWRCOGINDEA,2032,0.0
GLOBAL,PWRCOGINDEA,2033,0.0
GLOBAL,PWRCOGINDEA,2034,0.0
GLOBAL,PWRCOGINDEA,2035,0.0
GLOBAL,PWRCOGINDEA,2036,0.0
GLOBAL,PWRCOGINDEA,2037,0.0
