REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOABGD,1,2023,8.562238129419557
GLOBAL,MINCOABGD,1,2024,5.738075031397985
GLOBAL,MINCOABGD,1,2025,4.45184358076403
GLOBAL,MINCOABGD,1,2026,5.224727333926084
GLOBAL,MINCOABGD,1,2027,4.5386127300651475
GLOBAL,MINCOABGD,1,2028,4.446292350015446
GLOBAL,MINCOABGD,1,2029,4.3539719699657455
GLOBAL,MINCOABGD,1,2030,4.2616515899160445
GLOBAL,MINCOABGD,1,2031,4.169331209866343
GLOBAL,MINCOABGD,1,2032,4.0770108298166425
GLOBAL,MINCOABGD,1,2033,3.984690449766941
GLOBAL,MINCOABGD,1,2034,3.89237006971724
GLOBAL,MINCOABGD,1,2035,3.8000496896675395
GLOBAL,MINCOABGD,1,2036,3.7595158263110853
GLOBAL,MINCOABGD,1,2037,3.718981962954632
GLOBAL,MINCOABGD,1,2038,3.678448099598178
GLOBAL,MINCOABGD,1,2039,3.637914236241724
GLOBAL,MINCOABGD,1,2040,3.5973803728852705
GLOBAL,MINCOABGD,1,2041,3.5568465095288166
GLOBAL,MINCOABGD,1,2042,3.5163126461723633
GLOBAL,MINCOABGD,1,2043,3.475778782815909
GLOBAL,MINCOABGD,1,2044,3.4352449194594556
GLOBAL,MINCOABGD,1,2045,3.394711056103002
GLOBAL,MINCOABGD,1,2046,3.354177192746548
GLOBAL,MINCOABGD,1,2047,3.313643329390094
GLOBAL,MINCOABGD,1,2048,3.273109466033641
GLOBAL,MINCOABGD,1,2049,3.2325756026771866
GLOBAL,MINCOABGD,1,2050,3.1920417393207328
GLOBAL,MINCOABTN,1,2023,8.942390369733449
GLOBAL,MINCOABTN,1,2024,6.876691526297386
GLOBAL,MINCOABTN,1,2025,5.33523086762127
GLOBAL,MINCOABTN,1,2026,6.261479326747385
GLOBAL,MINCOABTN,1,2027,5.439217774463382
GLOBAL,MINCOABTN,1,2028,5.328578096223123
GLOBAL,MINCOABTN,1,2029,5.217938417982865
GLOBAL,MINCOABTN,1,2030,5.107298739742607
GLOBAL,MINCOABTN,1,2031,4.996659061502347
GLOBAL,MINCOABTN,1,2032,4.88601938326209
GLOBAL,MINCOABTN,1,2033,4.775379705021831
GLOBAL,MINCOABTN,1,2034,4.6647400267815735
GLOBAL,MINCOABTN,1,2035,4.554100348541315
GLOBAL,MINCOABTN,1,2036,4.505523278156875
GLOBAL,MINCOABTN,1,2037,4.456946207772433
GLOBAL,MINCOABTN,1,2038,4.408369137387993
GLOBAL,MINCOABTN,1,2039,4.359792067003553
GLOBAL,MINCOABTN,1,2040,4.311214996619111
GLOBAL,MINCOABTN,1,2041,4.262637926234671
GLOBAL,MINCOABTN,1,2042,4.21406085585023
GLOBAL,MINCOABTN,1,2043,4.165483785465789
GLOBAL,MINCOABTN,1,2044,4.116906715081349
GLOBAL,MINCOABTN,1,2045,4.068329644696909
GLOBAL,MINCOABTN,1,2046,4.019752574312467
GLOBAL,MINCOABTN,1,2047,3.971175503928027
GLOBAL,MINCOABTN,1,2048,3.922598433543586
GLOBAL,MINCOABTN,1,2049,3.8740213631591454
GLOBAL,MINCOABTN,1,2050,3.8254442927747045
GLOBAL,MINCOAIND,1,2023,2.9095585076304378
GLOBAL,MINCOAIND,1,2024,2.9386540927067424
GLOBAL,MINCOAIND,1,2025,2.9680406336338097
GLOBAL,MINCOAIND,1,2026,2.997721039970148
GLOBAL,MINCOAIND,1,2027,3.0276982503698493
GLOBAL,MINCOAIND,1,2028,3.057975232873548
GLOBAL,MINCOAIND,1,2029,3.088554985202283
GLOBAL,MINCOAIND,1,2030,3.1194405350543066
GLOBAL,MINCOAIND,1,2031,3.150634940404849
GLOBAL,MINCOAIND,1,2032,3.1821412898088983
GLOBAL,MINCOAIND,1,2033,3.2139627027069873
GLOBAL,MINCOAIND,1,2034,3.2461023297340574
GLOBAL,MINCOAIND,1,2035,3.278563353031397
GLOBAL,MINCOAIND,1,2036,3.311348986561711
GLOBAL,MINCOAIND,1,2037,3.3444624764273283
GLOBAL,MINCOAIND,1,2038,3.377907101191602
GLOBAL,MINCOAIND,1,2039,3.411686172203517
GLOBAL,MINCOAIND,1,2040,3.4458030339255536
GLOBAL,MINCOAIND,1,2041,3.480261064264809
GLOBAL,MINCOAIND,1,2042,3.5150636749074575
GLOBAL,MINCOAIND,1,2043,3.5502143116565312
GLOBAL,MINCOAIND,1,2044,3.5857164547730966
GLOBAL,MINCOAIND,1,2045,3.621573619320827
GLOBAL,MINCOAIND,1,2046,3.6577893555140366
GLOBAL,MINCOAIND,1,2047,3.694367249069176
GLOBAL,MINCOAIND,1,2048,3.731310921559869
GLOBAL,MINCOAIND,1,2049,3.768624030775468
GLOBAL,MINCOAIND,1,2050,3.806310271083223
GLOBAL,MINCOAINT,1,2023,8.942390369733449
GLOBAL,MINCOAINT,1,2024,6.876691526297386
GLOBAL,MINCOAINT,1,2025,5.33523086762127
GLOBAL,MINCOAINT,1,2026,6.261479326747385
GLOBAL,MINCOAINT,1,2027,5.439217774463382
GLOBAL,MINCOAINT,1,2028,5.328578096223123
GLOBAL,MINCOAINT,1,2029,5.217938417982865
GLOBAL,MINCOAINT,1,2030,5.107298739742607
GLOBAL,MINCOAINT,1,2031,4.996659061502347
GLOBAL,MINCOAINT,1,2032,4.88601938326209
GLOBAL,MINCOAINT,1,2033,4.775379705021831
GLOBAL,MINCOAINT,1,2034,4.6647400267815735
GLOBAL,MINCOAINT,1,2035,4.554100348541315
GLOBAL,MINCOAINT,1,2036,4.505523278156875
GLOBAL,MINCOAINT,1,2037,4.456946207772433
GLOBAL,MINCOAINT,1,2038,4.408369137387993
GLOBAL,MINCOAINT,1,2039,4.359792067003553
GLOBAL,MINCOAINT,1,2040,4.311214996619111
GLOBAL,MINCOAINT,1,2041,4.262637926234671
GLOBAL,MINCOAINT,1,2042,4.21406085585023
GLOBAL,MINCOAINT,1,2043,4.165483785465789
GLOBAL,MINCOAINT,1,2044,4.116906715081349
GLOBAL,MINCOAINT,1,2045,4.068329644696909
GLOBAL,MINCOAINT,1,2046,4.019752574312467
GLOBAL,MINCOAINT,1,2047,3.971175503928027
GLOBAL,MINCOAINT,1,2048,3.922598433543586
GLOBAL,MINCOAINT,1,2049,3.8740213631591454
GLOBAL,MINCOAINT,1,2050,3.8254442927747045
GLOBAL,MINCOALKA,1,2023,7.96
GLOBAL,MINCOALKA,1,2024,4.764567793916431
GLOBAL,MINCOALKA,1,2025,3.6965551046993137
GLOBAL,MINCOALKA,1,2026,4.338313363106056
GLOBAL,MINCOALKA,1,2027,3.7686032204878783
GLOBAL,MINCOALKA,1,2028,3.691945681661697
GLOBAL,MINCOALKA,1,2029,3.6152881428355164
GLOBAL,MINCOALKA,1,2030,3.5386306040093354
GLOBAL,MINCOALKA,1,2031,3.461973065183154
GLOBAL,MINCOALKA,1,2032,3.3853155263569734
GLOBAL,MINCOALKA,1,2033,3.308657987530792
GLOBAL,MINCOALKA,1,2034,3.2320004487046115
GLOBAL,MINCOALKA,1,2035,3.1553429098784305
GLOBAL,MINCOALKA,1,2036,3.1216859188397277
GLOBAL,MINCOALKA,1,2037,3.088028927801024
GLOBAL,MINCOALKA,1,2038,3.0543719367623208
GLOBAL,MINCOALKA,1,2039,3.0207149457236175
GLOBAL,MINCOALKA,1,2040,2.9870579546849143
GLOBAL,MINCOALKA,1,2041,2.953400963646211
GLOBAL,MINCOALKA,1,2042,2.919743972607508
GLOBAL,MINCOALKA,1,2043,2.8860869815688046
GLOBAL,MINCOALKA,1,2044,2.8524299905301014
GLOBAL,MINCOALKA,1,2045,2.818772999491398
GLOBAL,MINCOALKA,1,2046,2.785116008452695
GLOBAL,MINCOALKA,1,2047,2.7514590174139917
GLOBAL,MINCOALKA,1,2048,2.7178020263752884
GLOBAL,MINCOALKA,1,2049,2.684145035336585
GLOBAL,MINCOALKA,1,2050,2.6504880442978815
GLOBAL,MINCOAMDV,1,2023,8.942390369733449
GLOBAL,MINCOAMDV,1,2024,6.876691526297386
GLOBAL,MINCOAMDV,1,2025,5.33523086762127
GLOBAL,MINCOAMDV,1,2026,6.261479326747385
GLOBAL,MINCOAMDV,1,2027,5.439217774463382
GLOBAL,MINCOAMDV,1,2028,5.328578096223123
GLOBAL,MINCOAMDV,1,2029,5.217938417982865
GLOBAL,MINCOAMDV,1,2030,5.107298739742607
GLOBAL,MINCOAMDV,1,2031,4.996659061502347
GLOBAL,MINCOAMDV,1,2032,4.88601938326209
GLOBAL,MINCOAMDV,1,2033,4.775379705021831
GLOBAL,MINCOAMDV,1,2034,4.6647400267815735
GLOBAL,MINCOAMDV,1,2035,4.554100348541315
GLOBAL,MINCOAMDV,1,2036,4.505523278156875
GLOBAL,MINCOAMDV,1,2037,4.456946207772433
GLOBAL,MINCOAMDV,1,2038,4.408369137387993
GLOBAL,MINCOAMDV,1,2039,4.359792067003553
GLOBAL,MINCOAMDV,1,2040,4.311214996619111
GLOBAL,MINCOAMDV,1,2041,4.262637926234671
GLOBAL,MINCOAMDV,1,2042,4.21406085585023
GLOBAL,MINCOAMDV,1,2043,4.165483785465789
GLOBAL,MINCOAMDV,1,2044,4.116906715081349
GLOBAL,MINCOAMDV,1,2045,4.068329644696909
GLOBAL,MINCOAMDV,1,2046,4.019752574312467
GLOBAL,MINCOAMDV,1,2047,3.971175503928027
GLOBAL,MINCOAMDV,1,2048,3.922598433543586
GLOBAL,MINCOAMDV,1,2049,3.8740213631591454
GLOBAL,MINCOAMDV,1,2050,3.8254442927747045
GLOBAL,MINCOANPL,1,2023,8.942390369733449
GLOBAL,MINCOANPL,1,2024,6.876691526297386
GLOBAL,MINCOANPL,1,2025,5.33523086762127
GLOBAL,MINCOANPL,1,2026,6.261479326747385
GLOBAL,MINCOANPL,1,2027,5.439217774463382
GLOBAL,MINCOANPL,1,2028,5.328578096223123
GLOBAL,MINCOANPL,1,2029,5.217938417982865
GLOBAL,MINCOANPL,1,2030,5.107298739742607
GLOBAL,MINCOANPL,1,2031,4.996659061502347
GLOBAL,MINCOANPL,1,2032,4.88601938326209
GLOBAL,MINCOANPL,1,2033,4.775379705021831
GLOBAL,MINCOANPL,1,2034,4.6647400267815735
GLOBAL,MINCOANPL,1,2035,4.554100348541315
GLOBAL,MINCOANPL,1,2036,4.505523278156875
GLOBAL,MINCOANPL,1,2037,4.456946207772433
GLOBAL,MINCOANPL,1,2038,4.408369137387993
GLOBAL,MINCOANPL,1,2039,4.359792067003553
GLOBAL,MINCOANPL,1,2040,4.311214996619111
GLOBAL,MINCOANPL,1,2041,4.262637926234671
GLOBAL,MINCOANPL,1,2042,4.21406085585023
GLOBAL,MINCOANPL,1,2043,4.165483785465789
GLOBAL,MINCOANPL,1,2044,4.116906715081349
GLOBAL,MINCOANPL,1,2045,4.068329644696909
GLOBAL,MINCOANPL,1,2046,4.019752574312467
GLOBAL,MINCOANPL,1,2047,3.971175503928027
GLOBAL,MINCOANPL,1,2048,3.922598433543586
GLOBAL,MINCOANPL,1,2049,3.8740213631591454
GLOBAL,MINCOANPL,1,2050,3.8254442927747045
GLOBAL,MINCOGBGD,1,2023,5.422227767430297
GLOBAL,MINCOGBGD,1,2024,5.422227767430297
GLOBAL,MINCOGBGD,1,2025,5.616456821786009
GLOBAL,MINCOGBGD,1,2026,5.810685876141723
GLOBAL,MINCOGBGD,1,2027,6.004914930497434
GLOBAL,MINCOGBGD,1,2028,6.199143984853147
GLOBAL,MINCOGBGD,1,2029,6.393373039208858
GLOBAL,MINCOGBGD,1,2030,6.587602093564572
GLOBAL,MINCOGBGD,1,2031,6.729227445698944
GLOBAL,MINCOGBGD,1,2032,6.870852797833318
GLOBAL,MINCOGBGD,1,2033,7.0124781499676905
GLOBAL,MINCOGBGD,1,2034,7.154103502102064
GLOBAL,MINCOGBGD,1,2035,7.295728854236437
GLOBAL,MINCOGBGD,1,2036,7.437354206370811
GLOBAL,MINCOGBGD,1,2037,7.578979558505185
GLOBAL,MINCOGBGD,1,2038,7.720604910639557
GLOBAL,MINCOGBGD,1,2039,7.862230262773931
GLOBAL,MINCOGBGD,1,2040,8.003855614908305
GLOBAL,MINCOGBGD,1,2041,8.145480967042678
GLOBAL,MINCOGBGD,1,2042,8.204828733651368
GLOBAL,MINCOGBGD,1,2043,8.264176500260058
