PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBCKNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIOLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRBIONPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCCSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU,GLOBAL,PWRCOABGDXX,,,,,,,,,,31.536
