PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionld,A_Calibrated_BAU,,,,,,,S1D1,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S1D2,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S1D3,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S1D4,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S1D5,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S2D1,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S2D2,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S2D3,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S2D4,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S2D5,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S3D1,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S3D2,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S3D3,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S3D4,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S3D5,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S4D1,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S4D2,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S4D3,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S4D4,,1,,,1
Conversionld,A_Calibrated_BAU,,,,,,,S4D5,,1,,,1
