PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,A_Calibrated_BAU,GLOBAL,,,,,,,,,,SDSNPLXX01,30
