PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIONPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOABGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOALKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRHYDNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRLDSNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWRNGSLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROILLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,A_Calibrated_BAU_Clipped,GLOBAL,PWROTHINDWE,,,,,,,,,,31.536
