PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,A_Calibrated_BAU_Clipped,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
