PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCCSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRCOGLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRPETNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRTRNBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,BAU,GLOBAL,PWRTRNBTNXX,,,,,,,,,,31.536
