PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,BAU,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,BAU,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCSPINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCSPINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRCSPINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRHYDBGDXX,,,,,,,,,,100.0
OperationalLife,BAU,GLOBAL,PWRHYDBTNXX,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRHYDINDEA,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRHYDINDNE,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRHYDINDNO,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRHYDINDSO,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRHYDINDWE,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRHYDLKAXX,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRHYDNPLXX,,,,,,,,,,80.0
OperationalLife,BAU,GLOBAL,PWRLDSBGDXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSBTNXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSINDEA,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSINDNE,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSINDNO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSINDSO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSINDWE,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSLKAXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSMDVXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRLDSNPLXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRNGSINDEA,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWRNGSINDNE,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWRNGSINDNO,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWRNGSINDSO,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWRNGSINDWE,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWRNGSLKAXX,,,,,,,,,,27.5
OperationalLife,BAU,GLOBAL,PWROILBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROILLKAXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHBTNXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHLKAXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHMDVXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWROTHNPLXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETBGDXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETBTNXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETINDEA,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETINDNE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETINDNO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETINDSO,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETINDWE,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETLKAXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETMDVXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRPETNPLXX,,,,,,,,,,30.0
OperationalLife,BAU,GLOBAL,PWRSDSBGDXX,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSBTNXX,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSINDEA,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSINDNE,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSINDNO,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSINDSO,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSINDWE,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSLKAXX,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSMDVXX,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSDSNPLXX,,,,,,,,,,15.0
OperationalLife,BAU,GLOBAL,PWRSPVBGDXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVBTNXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVINDEA,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVINDNE,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVINDNO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVINDSO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVINDWE,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVLKAXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVMDVXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRSPVNPLXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRTRNBGDXX,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNBTNXX,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNINDEA,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNINDNE,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNINDNO,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNINDSO,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNINDWE,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNLKAXX,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNMDVXX,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRTRNNPLXX,,,,,,,,,,50.0
OperationalLife,BAU,GLOBAL,PWRURNBGDXX,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRURNINDEA,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRURNINDNE,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRURNINDNO,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRURNINDSO,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRURNINDWE,,,,,,,,,,60.0
OperationalLife,BAU,GLOBAL,PWRWASBGDXX,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRWASINDEA,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRWASINDNE,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRWASINDNO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRWASINDSO,,,,,,,,,,25.0
OperationalLife,BAU,GLOBAL,PWRWASINDWE,,,,,,,,,,25.0
