PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,BAU,GLOBAL,,,,,,,,,,SDSNPLXX01,30
