PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2023,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2024,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2025,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2026,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2027,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2028,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2029,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2030,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2031,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2032,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2033,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2034,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2035,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2036,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2037,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2038,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2039,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2040,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2041,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2042,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2043,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2044,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2045,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2046,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2047,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2048,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2049,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2050,S1D1,,,,,0.052326
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2023,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2024,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2025,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2026,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2027,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2028,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2029,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2030,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2031,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2032,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2033,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2034,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2035,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2036,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2037,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2038,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2039,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2040,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2041,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2042,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2043,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2044,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2045,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2046,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2047,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2048,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2049,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2050,S1D2,,,,,0.107446
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2023,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2024,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2025,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2026,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2027,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2028,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2029,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2030,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2031,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2032,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2033,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2034,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2035,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2036,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2037,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2038,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2039,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2040,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2041,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2042,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2043,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2044,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2045,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2046,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2047,S1D3,,,,,0.032441
SpecifiedDemandProfile,BAU,GLOBAL,,ELCBGDXX03,,,2048,S1D3,,,,,0.032441
