PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,BAU,GLOBAL,,,,,,,,,,SDSNPLXX01,0
