PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2023,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2024,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2025,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2026,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2027,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2028,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2029,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2030,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2031,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2032,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2033,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2034,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2035,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2036,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2037,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2038,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2039,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2040,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2041,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2042,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2043,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2044,,,,,,0.0
TotalAnnualMaxCapacity,BAU,GLOBAL,PWRCSPINDEA,,,,2045,,,,,,0.0
