PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBCKNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIOLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRBIONPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirBidir,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
