PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCSPINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCSPINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRCSPINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDBGDXX,,,,,,,,,,100.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDBTNXX,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDINDEA,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDINDNE,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDINDNO,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDINDSO,,,,,,,,,,60.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDINDWE,,,,,,,,,,60.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDLKAXX,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRHYDNPLXX,,,,,,,,,,80.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRLDSBGDXX,,,,,,,,,,25.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRLDSBTNXX,,,,,,,,,,25.0
OperationalLife,B_Opt_DirBidir,GLOBAL,PWRLDSINDEA,,,,,,,,,,25.0
