PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBCKNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIOLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRBIONPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCCSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOABGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOAINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOAINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOAINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOAINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOAINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOALKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCOGLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCSPINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCSPINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCSPINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCSPINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRCSPINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,B_Opt_DirContractual,GLOBAL,PWRHYDLKAXX,,,,,,,,,,31.536
