PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2023,,,,,,427.324
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2024,,,,,,456.303
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2025,,,,,,487.247
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2026,,,,,,520.29
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2027,,,,,,555.573
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2028,,,,,,593.249
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2029,,,,,,633.481
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2030,,,,,,676.44
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2031,,,,,,712.658
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2032,,,,,,750.815
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2033,,,,,,791.015
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2034,,,,,,833.367
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2035,,,,,,877.987
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2036,,,,,,924.996
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2037,,,,,,974.521
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2038,,,,,,1026.699
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2039,,,,,,1081.67
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2040,,,,,,1139.585
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2041,,,,,,1200.6
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2042,,,,,,1251.814
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2043,,,,,,1305.212
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2044,,,,,,1360.888
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2045,,,,,,1418.939
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2046,,,,,,1479.467
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2047,,,,,,1542.576
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2048,,,,,,1608.377
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2049,,,,,,1676.985
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBGDXX03,,,2050,,,,,,1748.52
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2023,,,,,,21.222
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2024,,,,,,22.705
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2025,,,,,,24.293
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2026,,,,,,25.991
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2027,,,,,,27.807
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2028,,,,,,29.751
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2029,,,,,,31.831
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2030,,,,,,34.056
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2031,,,,,,36.438
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2032,,,,,,38.987
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2033,,,,,,41.714
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2034,,,,,,44.632
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2035,,,,,,47.753
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2036,,,,,,51.094
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2037,,,,,,54.667
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2038,,,,,,58.491
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2039,,,,,,62.583
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2040,,,,,,66.96
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2041,,,,,,71.644
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2042,,,,,,76.655
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2043,,,,,,82.017
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2044,,,,,,87.753
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2045,,,,,,93.892
SpecifiedAnnualDemand,B_Opt_DirContractual,GLOBAL,,ELCBTNXX03,,,2046,,,,,,100.459
