PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCSPINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCSPINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRCSPINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDBGDXX,,,,,,,,,,100.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDBTNXX,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDINDEA,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDINDNE,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDINDNO,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDINDSO,,,,,,,,,,60.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDINDWE,,,,,,,,,,60.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDLKAXX,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRHYDNPLXX,,,,,,,,,,80.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSBGDXX,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSBTNXX,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSINDEA,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSINDNE,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSINDNO,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSINDSO,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSINDWE,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSLKAXX,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSMDVXX,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRLDSNPLXX,,,,,,,,,,25.0
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSINDEA,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSINDNE,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSINDNO,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSINDSO,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSINDWE,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWRNGSLKAXX,,,,,,,,,,27.5
OperationalLife,B_Opt_IndiaCosts,GLOBAL,PWROILBGDXX,,,,,,,,,,30.0
