PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSNPLXX01,30
