PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_IndiaCosts,GLOBAL,,,,,,,,,,SDSNPLXX01,0
