PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_IndiaCostsFuel,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
