PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_IndiaCostsFuel,GLOBAL,,,,,,,,,,SDSNPLXX01,0
