PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSBGDXX,,,1,,,,,,LDSBGDXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSBGDXX,,,2,,,,,,LDSBGDXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSBTNXX,,,1,,,,,,LDSBTNXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSBTNXX,,,2,,,,,,LDSBTNXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDEA,,,1,,,,,,LDSINDEA01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDEA,,,2,,,,,,LDSINDEA01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDNE,,,1,,,,,,LDSINDNE01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDNE,,,2,,,,,,LDSINDNE01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDNO,,,1,,,,,,LDSINDNO01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDNO,,,2,,,,,,LDSINDNO01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDSO,,,1,,,,,,LDSINDSO01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDSO,,,2,,,,,,LDSINDSO01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDWE,,,1,,,,,,LDSINDWE01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSINDWE,,,2,,,,,,LDSINDWE01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSLKAXX,,,1,,,,,,LDSLKAXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSLKAXX,,,2,,,,,,LDSLKAXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSMDVXX,,,1,,,,,,LDSMDVXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSMDVXX,,,2,,,,,,LDSMDVXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSNPLXX,,,1,,,,,,LDSNPLXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRLDSNPLXX,,,2,,,,,,LDSNPLXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSBGDXX,,,1,,,,,,SDSBGDXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSBGDXX,,,2,,,,,,SDSBGDXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSBTNXX,,,1,,,,,,SDSBTNXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSBTNXX,,,2,,,,,,SDSBTNXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDEA,,,1,,,,,,SDSINDEA01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDEA,,,2,,,,,,SDSINDEA01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDNE,,,1,,,,,,SDSINDNE01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDNE,,,2,,,,,,SDSINDNE01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDNO,,,1,,,,,,SDSINDNO01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDNO,,,2,,,,,,SDSINDNO01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDSO,,,1,,,,,,SDSINDSO01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDSO,,,2,,,,,,SDSINDSO01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDWE,,,1,,,,,,SDSINDWE01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSINDWE,,,2,,,,,,SDSINDWE01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSLKAXX,,,1,,,,,,SDSLKAXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSLKAXX,,,2,,,,,,SDSLKAXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSMDVXX,,,1,,,,,,SDSMDVXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSMDVXX,,,2,,,,,,SDSMDVXX01,0
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSNPLXX,,,1,,,,,,SDSNPLXX01,1
TechnologyToStorage,B_Opt_IndiaCostsFuel,GLOBAL,PWRSDSNPLXX,,,2,,,,,,SDSNPLXX01,0
