PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
DaySplit,B_Opt_SolarCapex130,,,,,,2023,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2024,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2025,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2026,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2027,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2028,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2029,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2030,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2031,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2032,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2033,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2034,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2035,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2036,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2037,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2038,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2039,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2040,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2041,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2042,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2043,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2044,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2045,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2046,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2047,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2048,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2049,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2050,,,,1,,0.25
DaySplit,B_Opt_SolarCapex130,,,,,,2023,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2024,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2025,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2026,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2027,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2028,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2029,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2030,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2031,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2032,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2033,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2034,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2035,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2036,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2037,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2038,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2039,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2040,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2041,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2042,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2043,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2044,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2045,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2046,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2047,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2048,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2049,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2050,,,,2,,0.4583333333333335
DaySplit,B_Opt_SolarCapex130,,,,,,2023,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2024,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2025,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2026,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2027,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2028,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2029,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2030,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2031,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2032,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2033,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2034,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2035,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2036,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2037,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2038,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2039,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2040,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2041,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2042,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2043,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2044,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2045,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2046,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2047,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2048,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2049,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2050,,,,3,,0.125
DaySplit,B_Opt_SolarCapex130,,,,,,2023,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2024,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2025,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2026,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2027,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2028,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2029,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2030,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2031,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2032,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2033,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2034,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2035,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2036,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2037,,,,4,,0.08333333333333331
DaySplit,B_Opt_SolarCapex130,,,,,,2038,,,,4,,0.08333333333333331
