PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapex130,GLOBAL,,,,,,,,,,SDSNPLXX01,0
