PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSNPLXX01,30
