PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapexHi,GLOBAL,,,,,,,,,,SDSNPLXX01,0
