PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2023,,,,,,6.9
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2024,,,,,,5.6
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2025,,,,,,4.3
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2026,,,,,,4.28
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2027,,,,,,4.26
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2028,,,,,,4.24
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2029,,,,,,4.22
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2030,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2031,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2032,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2033,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2034,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2035,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2036,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2037,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2038,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2039,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2040,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2041,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2042,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2043,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2044,,,,,,4.2
VariableCost,B_Opt_SolarCapexHi,GLOBAL,MINCOABGD,,,1,2045,,,,,,4.2
