PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,B_Opt_SolarCapexSpike,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
