PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_SolarCapexSpike,GLOBAL,,,,,,,,,,SDSNPLXX01,0
