PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKBGDXX,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKBTNXX,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKINDEA,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKINDNE,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKINDNO,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKINDSO,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKINDWE,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKLKAXX,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKMDVXX,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBCKNPLXX,,,,,,,,,,1.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIOLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRBIONPLXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCCSINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOABGDXX,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOAINDEA,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOAINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOAINDNO,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOAINDSO,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOAINDWE,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOALKAXX,,,,,,,,,,40.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCOGLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCSPINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCSPINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCSPINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCSPINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRCSPINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDBGDXX,,,,,,,,,,100.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDBTNXX,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDINDEA,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDINDNE,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDINDNO,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDINDSO,,,,,,,,,,60.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDINDWE,,,,,,,,,,60.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDLKAXX,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRHYDNPLXX,,,,,,,,,,80.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSBGDXX,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSBTNXX,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSINDEA,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSINDNE,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSINDNO,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSINDSO,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSINDWE,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSLKAXX,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSMDVXX,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRLDSNPLXX,,,,,,,,,,25.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSINDEA,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSINDNE,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSINDNO,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSINDSO,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSINDWE,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWRNGSLKAXX,,,,,,,,,,27.5
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILINDEA,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILINDNE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILINDNO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILINDSO,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILINDWE,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROILLKAXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROTHBGDXX,,,,,,,,,,30.0
OperationalLife,B_Opt_TradeCap15,GLOBAL,PWROTHBTNXX,,,,,,,,,,30.0
