PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSBGDXX01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSBTNXX01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDEA01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDNE01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDNO01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDSO01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDWE01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSLKAXX01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSMDVXX01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSNPLXX01,60
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSBGDXX01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSBTNXX01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDEA01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDNE01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDNO01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDSO01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDWE01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSLKAXX01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSMDVXX01,30
OperationalLifeStorage,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSNPLXX01,30
