PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_TradeCap30,GLOBAL,,,,,,,,,,SDSNPLXX01,0
