PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2023,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2024,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2025,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2026,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2027,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2028,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2029,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2030,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2031,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2032,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2033,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2034,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2035,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2036,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2037,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2038,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2039,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2040,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2041,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2042,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2043,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2044,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2045,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2046,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2047,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2048,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2049,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2050,S1D1,,,,,0.8439
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2023,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2024,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2025,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2026,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2027,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2028,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2029,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2030,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2031,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2032,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2033,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2034,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2035,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2036,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2037,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2038,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2039,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2040,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2041,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2042,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2043,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2044,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2045,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2046,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2047,S1D2,,,,,0.1719
CapacityFactor,B_Opt_TxCap150,GLOBAL,PWRCSPINDEA,,,,2048,S1D2,,,,,0.1719
