PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSBGDXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSBTNXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSINDEA01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSINDNE01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSINDNO01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSINDSO01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSINDWE01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSLKAXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSMDVXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,LDSNPLXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSBGDXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSBTNXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSINDEA01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSINDNE01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSINDNO01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSINDSO01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSINDWE01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSLKAXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSMDVXX01,0
StorageLevelStart,B_Opt_TxCap150,GLOBAL,,,,,,,,,,SDSNPLXX01,0
