PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Conversionlh,B_Optimised_VRE,,,,,,,S1D1,,,1,,1
Conversionlh,B_Optimised_VRE,,,,,,,S1D1,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D1,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D1,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D1,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D2,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D2,,,2,,1
Conversionlh,B_Optimised_VRE,,,,,,,S1D2,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D2,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D2,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D3,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D3,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D3,,,3,,1
Conversionlh,B_Optimised_VRE,,,,,,,S1D3,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D3,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D4,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D4,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D4,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D4,,,4,,1
Conversionlh,B_Optimised_VRE,,,,,,,S1D4,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D5,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D5,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D5,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D5,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S1D5,,,5,,1
Conversionlh,B_Optimised_VRE,,,,,,,S2D1,,,1,,1
Conversionlh,B_Optimised_VRE,,,,,,,S2D1,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D1,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D1,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D1,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D2,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D2,,,2,,1
Conversionlh,B_Optimised_VRE,,,,,,,S2D2,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D2,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D2,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D3,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D3,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D3,,,3,,1
Conversionlh,B_Optimised_VRE,,,,,,,S2D3,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D3,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D4,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D4,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D4,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D4,,,4,,1
Conversionlh,B_Optimised_VRE,,,,,,,S2D4,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D5,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D5,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D5,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D5,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S2D5,,,5,,1
Conversionlh,B_Optimised_VRE,,,,,,,S3D1,,,1,,1
Conversionlh,B_Optimised_VRE,,,,,,,S3D1,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D1,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D1,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D1,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D2,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D2,,,2,,1
Conversionlh,B_Optimised_VRE,,,,,,,S3D2,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D2,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D2,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D3,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D3,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D3,,,3,,1
Conversionlh,B_Optimised_VRE,,,,,,,S3D3,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D3,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D4,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D4,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D4,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D4,,,4,,1
Conversionlh,B_Optimised_VRE,,,,,,,S3D4,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D5,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D5,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D5,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D5,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S3D5,,,5,,1
Conversionlh,B_Optimised_VRE,,,,,,,S4D1,,,1,,1
Conversionlh,B_Optimised_VRE,,,,,,,S4D1,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D1,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D1,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D1,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D2,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D2,,,2,,1
Conversionlh,B_Optimised_VRE,,,,,,,S4D2,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D2,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D2,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D3,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D3,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D3,,,3,,1
Conversionlh,B_Optimised_VRE,,,,,,,S4D3,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D3,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D4,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D4,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D4,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D4,,,4,,1
Conversionlh,B_Optimised_VRE,,,,,,,S4D4,,,5,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D5,,,1,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D5,,,2,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D5,,,3,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D5,,,4,,0
Conversionlh,B_Optimised_VRE,,,,,,,S4D5,,,5,,1
