PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHMDV,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILBTN,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINPETIND,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOTHLKA,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityUpperLimit,B_Optimised_VRE,GLOBAL,MINOILIND,,,,2034,,,,,,0.0
