PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKBTNXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKMDVXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBCKNPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIOLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRBIONPLXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCCSINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOABGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOAINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOAINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOAINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOAINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOAINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOALKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCOGLKAXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCSPINDEA,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCSPINDNE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCSPINDNO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCSPINDSO,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRCSPINDWE,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRHYDBGDXX,,,,,,,,,,31.536
CapacityToActivityUnit,C_Target_VRE_Clipped,GLOBAL,PWRHYDBTNXX,,,,,,,,,,31.536
