PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2023,,,,,,174.1783
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2024,,,,,,185.5065
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2025,,,,,,198.654
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2026,,,,,,212.5421
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2027,,,,,,227.8505
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2028,,,,,,247.4651
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2029,,,,,,272.255
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2030,,,,,,285.6325
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2031,,,,,,298.2097
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2032,,,,,,313.0743
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2033,,,,,,327.4332
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2034,,,,,,340.5533
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2035,,,,,,351.7007
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2036,,,,,,368.2744
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2037,,,,,,385.7009
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2038,,,,,,403.0907
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2039,,,,,,420.2771
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2040,,,,,,438.7578
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2041,,,,,,456.5198
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2042,,,,,,477.4526
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2043,,,,,,499.6837
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2044,,,,,,522.9521
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2045,,,,,,547.9768
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2046,,,,,,572.887
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2047,,,,,,598.2522
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2048,,,,,,624.2711
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2049,,,,,,651.7674
TotalTechnologyAnnualActivityLowerLimit,C_Target_VRE_Clipped,GLOBAL,PWRWONINDWE,,,,2050,,,,,,680.4176
