REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBCKBGDXX,2023,0.0
GLOBAL,PWRBCKBGDXX,2024,0.0
GLOBAL,PWRBCKBGDXX,2025,0.0
GLOBAL,PWRBCKBGDXX,2026,0.0
GLOBAL,PWRBCKBGDXX,2027,0.0
GLOBAL,PWRBCKBGDXX,2028,0.0
GLOBAL,PWRBCKBGDXX,2029,0.0
GLOBAL,PWRBCKBGDXX,2030,0.0
GLOBAL,PWRBCKBGDXX,2031,0.0
GLOBAL,PWRBCKBGDXX,2032,0.0
GLOBAL,PWRBCKBGDXX,2033,0.0
GLOBAL,PWRBCKBGDXX,2034,0.0
GLOBAL,PWRBCKBGDXX,2035,0.0
GLOBAL,PWRBCKBGDXX,2036,0.0
GLOBAL,PWRBCKBGDXX,2037,0.0
GLOBAL,PWRBCKBGDXX,2038,0.0
GLOBAL,PWRBCKBGDXX,2039,0.0
GLOBAL,PWRBCKBGDXX,2040,0.0
GLOBAL,PWRBCKBGDXX,2041,0.0
GLOBAL,PWRBCKBGDXX,2042,0.0
GLOBAL,PWRBCKBGDXX,2043,0.0
GLOBAL,PWRBCKBGDXX,2044,0.0
GLOBAL,PWRBCKBGDXX,2045,0.0
GLOBAL,PWRBCKBGDXX,2046,0.0
GLOBAL,PWRBCKBGDXX,2047,0.0
GLOBAL,PWRBCKBGDXX,2048,0.0
GLOBAL,PWRBCKBGDXX,2049,0.0
GLOBAL,PWRBCKBGDXX,2050,0.0
GLOBAL,PWRBCKBTNXX,2023,0.0
GLOBAL,PWRBCKBTNXX,2024,0.0
GLOBAL,PWRBCKBTNXX,2025,0.0
GLOBAL,PWRBCKBTNXX,2026,0.0
GLOBAL,PWRBCKBTNXX,2027,0.0
GLOBAL,PWRBCKBTNXX,2028,0.0
GLOBAL,PWRBCKBTNXX,2029,0.0
GLOBAL,PWRBCKBTNXX,2030,0.0
GLOBAL,PWRBCKBTNXX,2031,0.0
GLOBAL,PWRBCKBTNXX,2032,0.0
GLOBAL,PWRBCKBTNXX,2033,0.0
GLOBAL,PWRBCKBTNXX,2034,0.0
GLOBAL,PWRBCKBTNXX,2035,0.0
GLOBAL,PWRBCKBTNXX,2036,0.0
GLOBAL,PWRBCKBTNXX,2037,0.0
GLOBAL,PWRBCKBTNXX,2038,0.0
GLOBAL,PWRBCKBTNXX,2039,0.0
GLOBAL,PWRBCKBTNXX,2040,0.0
GLOBAL,PWRBCKBTNXX,2041,0.0
GLOBAL,PWRBCKBTNXX,2042,0.0
GLOBAL,PWRBCKBTNXX,2043,0.0
GLOBAL,PWRBCKBTNXX,2044,0.0
GLOBAL,PWRBCKBTNXX,2045,0.0
GLOBAL,PWRBCKBTNXX,2046,0.0
GLOBAL,PWRBCKBTNXX,2047,0.0
GLOBAL,PWRBCKBTNXX,2048,0.0
GLOBAL,PWRBCKBTNXX,2049,0.0
GLOBAL,PWRBCKBTNXX,2050,0.0
GLOBAL,PWRBCKINDEA,2023,0.0
GLOBAL,PWRBCKINDEA,2024,0.0
GLOBAL,PWRBCKINDEA,2025,0.0
GLOBAL,PWRBCKINDEA,2026,0.0
GLOBAL,PWRBCKINDEA,2027,0.0
GLOBAL,PWRBCKINDEA,2028,0.0
GLOBAL,PWRBCKINDEA,2029,0.0
GLOBAL,PWRBCKINDEA,2030,0.0
GLOBAL,PWRBCKINDEA,2031,0.0
GLOBAL,PWRBCKINDEA,2032,0.0
GLOBAL,PWRBCKINDEA,2033,0.0
GLOBAL,PWRBCKINDEA,2034,0.0
GLOBAL,PWRBCKINDEA,2035,0.0
GLOBAL,PWRBCKINDEA,2036,0.0
GLOBAL,PWRBCKINDEA,2037,0.0
GLOBAL,PWRBCKINDEA,2038,0.0
GLOBAL,PWRBCKINDEA,2039,0.0
GLOBAL,PWRBCKINDEA,2040,0.0
GLOBAL,PWRBCKINDEA,2041,0.0
GLOBAL,PWRBCKINDEA,2042,0.0
GLOBAL,PWRBCKINDEA,2043,0.0
GLOBAL,PWRBCKINDEA,2044,0.0
GLOBAL,PWRBCKINDEA,2045,0.0
GLOBAL,PWRBCKINDEA,2046,0.0
GLOBAL,PWRBCKINDEA,2047,0.0
GLOBAL,PWRBCKINDEA,2048,0.0
GLOBAL,PWRBCKINDEA,2049,0.0
GLOBAL,PWRBCKINDEA,2050,0.0
GLOBAL,PWRBCKINDNE,2023,0.0
GLOBAL,PWRBCKINDNE,2024,0.0
GLOBAL,PWRBCKINDNE,2025,0.0
GLOBAL,PWRBCKINDNE,2026,0.0
GLOBAL,PWRBCKINDNE,2027,0.0
GLOBAL,PWRBCKINDNE,2028,0.0
GLOBAL,PWRBCKINDNE,2029,0.0
GLOBAL,PWRBCKINDNE,2030,0.0
GLOBAL,PWRBCKINDNE,2031,0.0
GLOBAL,PWRBCKINDNE,2032,0.0
GLOBAL,PWRBCKINDNE,2033,0.0
GLOBAL,PWRBCKINDNE,2034,0.0
GLOBAL,PWRBCKINDNE,2035,0.0
GLOBAL,PWRBCKINDNE,2036,0.0
GLOBAL,PWRBCKINDNE,2037,0.0
GLOBAL,PWRBCKINDNE,2038,0.0
GLOBAL,PWRBCKINDNE,2039,0.0
GLOBAL,PWRBCKINDNE,2040,0.0
GLOBAL,PWRBCKINDNE,2041,0.0
GLOBAL,PWRBCKINDNE,2042,0.0
GLOBAL,PWRBCKINDNE,2043,0.0
GLOBAL,PWRBCKINDNE,2044,0.0
GLOBAL,PWRBCKINDNE,2045,0.0
GLOBAL,PWRBCKINDNE,2046,0.0
GLOBAL,PWRBCKINDNE,2047,0.0
GLOBAL,PWRBCKINDNE,2048,0.0
GLOBAL,PWRBCKINDNE,2049,0.0
GLOBAL,PWRBCKINDNE,2050,0.0
GLOBAL,PWRBCKINDNO,2023,0.0
GLOBAL,PWRBCKINDNO,2024,0.0
GLOBAL,PWRBCKINDNO,2025,0.0
GLOBAL,PWRBCKINDNO,2026,0.0
GLOBAL,PWRBCKINDNO,2027,0.0
GLOBAL,PWRBCKINDNO,2028,0.0
GLOBAL,PWRBCKINDNO,2029,0.0
GLOBAL,PWRBCKINDNO,2030,0.0
GLOBAL,PWRBCKINDNO,2031,0.0
GLOBAL,PWRBCKINDNO,2032,0.0
GLOBAL,PWRBCKINDNO,2033,0.0
GLOBAL,PWRBCKINDNO,2034,0.0
GLOBAL,PWRBCKINDNO,2035,0.0
GLOBAL,PWRBCKINDNO,2036,0.0
GLOBAL,PWRBCKINDNO,2037,0.0
GLOBAL,PWRBCKINDNO,2038,0.0
GLOBAL,PWRBCKINDNO,2039,0.0
GLOBAL,PWRBCKINDNO,2040,0.0
GLOBAL,PWRBCKINDNO,2041,0.0
GLOBAL,PWRBCKINDNO,2042,0.0
GLOBAL,PWRBCKINDNO,2043,0.0
GLOBAL,PWRBCKINDNO,2044,0.0
GLOBAL,PWRBCKINDNO,2045,0.0
GLOBAL,PWRBCKINDNO,2046,0.0
GLOBAL,PWRBCKINDNO,2047,0.0
GLOBAL,PWRBCKINDNO,2048,0.0
GLOBAL,PWRBCKINDNO,2049,0.0
GLOBAL,PWRBCKINDNO,2050,0.0
GLOBAL,PWRBCKINDSO,2023,0.0
GLOBAL,PWRBCKINDSO,2024,0.0
GLOBAL,PWRBCKINDSO,2025,0.0
GLOBAL,PWRBCKINDSO,2026,0.0
GLOBAL,PWRBCKINDSO,2027,0.0
GLOBAL,PWRBCKINDSO,2028,0.0
GLOBAL,PWRBCKINDSO,2029,0.0
GLOBAL,PWRBCKINDSO,2030,0.0
GLOBAL,PWRBCKINDSO,2031,0.0
GLOBAL,PWRBCKINDSO,2032,0.0
GLOBAL,PWRBCKINDSO,2033,0.0
GLOBAL,PWRBCKINDSO,2034,0.0
GLOBAL,PWRBCKINDSO,2035,0.0
GLOBAL,PWRBCKINDSO,2036,0.0
GLOBAL,PWRBCKINDSO,2037,0.0
GLOBAL,PWRBCKINDSO,2038,0.0
GLOBAL,PWRBCKINDSO,2039,0.0
GLOBAL,PWRBCKINDSO,2040,0.0
GLOBAL,PWRBCKINDSO,2041,0.0
GLOBAL,PWRBCKINDSO,2042,0.0
GLOBAL,PWRBCKINDSO,2043,0.0
GLOBAL,PWRBCKINDSO,2044,0.0
GLOBAL,PWRBCKINDSO,2045,0.0
GLOBAL,PWRBCKINDSO,2046,0.0
GLOBAL,PWRBCKINDSO,2047,0.0
GLOBAL,PWRBCKINDSO,2048,0.0
GLOBAL,PWRBCKINDSO,2049,0.0
GLOBAL,PWRBCKINDSO,2050,0.0
GLOBAL,PWRBCKINDWE,2023,0.0
GLOBAL,PWRBCKINDWE,2024,0.0
GLOBAL,PWRBCKINDWE,2025,0.0
GLOBAL,PWRBCKINDWE,2026,0.0
GLOBAL,PWRBCKINDWE,2027,0.0
GLOBAL,PWRBCKINDWE,2028,0.0
GLOBAL,PWRBCKINDWE,2029,0.0
GLOBAL,PWRBCKINDWE,2030,0.0
GLOBAL,PWRBCKINDWE,2031,0.0
GLOBAL,PWRBCKINDWE,2032,0.0
GLOBAL,PWRBCKINDWE,2033,0.0
GLOBAL,PWRBCKINDWE,2034,0.0
GLOBAL,PWRBCKINDWE,2035,0.0
GLOBAL,PWRBCKINDWE,2036,0.0
GLOBAL,PWRBCKINDWE,2037,0.0
GLOBAL,PWRBCKINDWE,2038,0.0
GLOBAL,PWRBCKINDWE,2039,0.0
GLOBAL,PWRBCKINDWE,2040,0.0
GLOBAL,PWRBCKINDWE,2041,0.0
GLOBAL,PWRBCKINDWE,2042,0.0
GLOBAL,PWRBCKINDWE,2043,0.0
GLOBAL,PWRBCKINDWE,2044,0.0
GLOBAL,PWRBCKINDWE,2045,0.0
GLOBAL,PWRBCKINDWE,2046,0.0
GLOBAL,PWRBCKINDWE,2047,0.0
GLOBAL,PWRBCKINDWE,2048,0.0
GLOBAL,PWRBCKINDWE,2049,0.0
GLOBAL,PWRBCKINDWE,2050,0.0
GLOBAL,PWRBCKLKAXX,2023,0.0
GLOBAL,PWRBCKLKAXX,2024,0.0
GLOBAL,PWRBCKLKAXX,2025,0.0
GLOBAL,PWRBCKLKAXX,2026,0.0
GLOBAL,PWRBCKLKAXX,2027,0.0
GLOBAL,PWRBCKLKAXX,2028,0.0
GLOBAL,PWRBCKLKAXX,2029,0.0
GLOBAL,PWRBCKLKAXX,2030,0.0
GLOBAL,PWRBCKLKAXX,2031,0.0
GLOBAL,PWRBCKLKAXX,2032,0.0
GLOBAL,PWRBCKLKAXX,2033,0.0
GLOBAL,PWRBCKLKAXX,2034,0.0
GLOBAL,PWRBCKLKAXX,2035,0.0
GLOBAL,PWRBCKLKAXX,2036,0.0
GLOBAL,PWRBCKLKAXX,2037,0.0
GLOBAL,PWRBCKLKAXX,2038,0.0
GLOBAL,PWRBCKLKAXX,2039,0.0
GLOBAL,PWRBCKLKAXX,2040,0.0
GLOBAL,PWRBCKLKAXX,2041,0.0
GLOBAL,PWRBCKLKAXX,2042,0.0
GLOBAL,PWRBCKLKAXX,2043,0.0
GLOBAL,PWRBCKLKAXX,2044,0.0
GLOBAL,PWRBCKLKAXX,2045,0.0
GLOBAL,PWRBCKLKAXX,2046,0.0
GLOBAL,PWRBCKLKAXX,2047,0.0
GLOBAL,PWRBCKLKAXX,2048,0.0
GLOBAL,PWRBCKLKAXX,2049,0.0
GLOBAL,PWRBCKLKAXX,2050,0.0
GLOBAL,PWRBCKMDVXX,2023,0.0
GLOBAL,PWRBCKMDVXX,2024,0.0
GLOBAL,PWRBCKMDVXX,2025,0.0
GLOBAL,PWRBCKMDVXX,2026,0.0
GLOBAL,PWRBCKMDVXX,2027,0.0
GLOBAL,PWRBCKMDVXX,2028,0.0
GLOBAL,PWRBCKMDVXX,2029,0.0
GLOBAL,PWRBCKMDVXX,2030,0.0
GLOBAL,PWRBCKMDVXX,2031,0.0
GLOBAL,PWRBCKMDVXX,2032,0.0
GLOBAL,PWRBCKMDVXX,2033,0.0
GLOBAL,PWRBCKMDVXX,2034,0.0
GLOBAL,PWRBCKMDVXX,2035,0.0
GLOBAL,PWRBCKMDVXX,2036,0.0
GLOBAL,PWRBCKMDVXX,2037,0.0
GLOBAL,PWRBCKMDVXX,2038,0.0
GLOBAL,PWRBCKMDVXX,2039,0.0
GLOBAL,PWRBCKMDVXX,2040,0.0
GLOBAL,PWRBCKMDVXX,2041,0.0
GLOBAL,PWRBCKMDVXX,2042,0.0
GLOBAL,PWRBCKMDVXX,2043,0.0
GLOBAL,PWRBCKMDVXX,2044,0.0
GLOBAL,PWRBCKMDVXX,2045,0.0
GLOBAL,PWRBCKMDVXX,2046,0.0
GLOBAL,PWRBCKMDVXX,2047,0.0
GLOBAL,PWRBCKMDVXX,2048,0.0
GLOBAL,PWRBCKMDVXX,2049,0.0
GLOBAL,PWRBCKMDVXX,2050,0.0
GLOBAL,PWRBCKNPLXX,2023,0.0
GLOBAL,PWRBCKNPLXX,2024,0.0
GLOBAL,PWRBCKNPLXX,2025,0.0
GLOBAL,PWRBCKNPLXX,2026,0.0
GLOBAL,PWRBCKNPLXX,2027,0.0
GLOBAL,PWRBCKNPLXX,2028,0.0
GLOBAL,PWRBCKNPLXX,2029,0.0
GLOBAL,PWRBCKNPLXX,2030,0.0
GLOBAL,PWRBCKNPLXX,2031,0.0
GLOBAL,PWRBCKNPLXX,2032,0.0
GLOBAL,PWRBCKNPLXX,2033,0.0
GLOBAL,PWRBCKNPLXX,2034,0.0
GLOBAL,PWRBCKNPLXX,2035,0.0
GLOBAL,PWRBCKNPLXX,2036,0.0
GLOBAL,PWRBCKNPLXX,2037,0.0
GLOBAL,PWRBCKNPLXX,2038,0.0
GLOBAL,PWRBCKNPLXX,2039,0.0
GLOBAL,PWRBCKNPLXX,2040,0.0
GLOBAL,PWRBCKNPLXX,2041,0.0
GLOBAL,PWRBCKNPLXX,2042,0.0
GLOBAL,PWRBCKNPLXX,2043,0.0
GLOBAL,PWRBCKNPLXX,2044,0.0
GLOBAL,PWRBCKNPLXX,2045,0.0
GLOBAL,PWRBCKNPLXX,2046,0.0
GLOBAL,PWRBCKNPLXX,2047,0.0
GLOBAL,PWRBCKNPLXX,2048,0.0
GLOBAL,PWRBCKNPLXX,2049,0.0
GLOBAL,PWRBCKNPLXX,2050,0.0
GLOBAL,PWRBIOBGDXX,2023,0.0
GLOBAL,PWRBIOBGDXX,2024,0.0001
GLOBAL,PWRBIOBGDXX,2025,0.0001
GLOBAL,PWRBIOBGDXX,2026,0.0001
GLOBAL,PWRBIOBGDXX,2027,0.0001
GLOBAL,PWRBIOBGDXX,2028,0.0001
GLOBAL,PWRBIOBGDXX,2029,0.0001
GLOBAL,PWRBIOBGDXX,2030,0.0001
GLOBAL,PWRBIOBGDXX,2031,0.0001
GLOBAL,PWRBIOBGDXX,2032,0.0001
GLOBAL,PWRBIOBGDXX,2033,0.0001
GLOBAL,PWRBIOBGDXX,2034,0.0001
GLOBAL,PWRBIOBGDXX,2035,0.0001
GLOBAL,PWRBIOBGDXX,2036,0.0001
GLOBAL,PWRBIOBGDXX,2037,0.0001
GLOBAL,PWRBIOBGDXX,2038,0.0001
GLOBAL,PWRBIOBGDXX,2039,0.0001
GLOBAL,PWRBIOBGDXX,2040,0.0001
GLOBAL,PWRBIOBGDXX,2041,0.0001
GLOBAL,PWRBIOBGDXX,2042,0.0001
GLOBAL,PWRBIOBGDXX,2043,0.0001
GLOBAL,PWRBIOBGDXX,2044,0.0001
GLOBAL,PWRBIOBGDXX,2045,0.0001
GLOBAL,PWRBIOBGDXX,2046,0.0001
GLOBAL,PWRBIOBGDXX,2047,0.0002
GLOBAL,PWRBIOBGDXX,2048,0.0002
GLOBAL,PWRBIOBGDXX,2049,0.0002
GLOBAL,PWRBIOBGDXX,2050,0.0002
GLOBAL,PWRBIOINDEA,2023,0.0
GLOBAL,PWRBIOINDEA,2024,0.0341
GLOBAL,PWRBIOINDEA,2025,0.0387
GLOBAL,PWRBIOINDEA,2026,0.0396
GLOBAL,PWRBIOINDEA,2027,0.0423
GLOBAL,PWRBIOINDEA,2028,0.0439
GLOBAL,PWRBIOINDEA,2029,0.0529
GLOBAL,PWRBIOINDEA,2030,0.037
GLOBAL,PWRBIOINDEA,2031,0.0359
GLOBAL,PWRBIOINDEA,2032,0.0493
GLOBAL,PWRBIOINDEA,2033,0.0493
GLOBAL,PWRBIOINDEA,2034,0.0493
GLOBAL,PWRBIOINDEA,2035,0.0493
GLOBAL,PWRBIOINDEA,2036,0.0493
GLOBAL,PWRBIOINDEA,2037,0.0557
GLOBAL,PWRBIOINDEA,2038,0.0557
GLOBAL,PWRBIOINDEA,2039,0.0557
GLOBAL,PWRBIOINDEA,2040,0.0557
GLOBAL,PWRBIOINDEA,2041,0.0557
GLOBAL,PWRBIOINDEA,2042,0.0635
GLOBAL,PWRBIOINDEA,2043,0.0664
GLOBAL,PWRBIOINDEA,2044,0.0695
GLOBAL,PWRBIOINDEA,2045,0.0726
GLOBAL,PWRBIOINDEA,2046,0.0759
GLOBAL,PWRBIOINDEA,2047,0.0794
GLOBAL,PWRBIOINDEA,2048,0.083
GLOBAL,PWRBIOINDEA,2049,0.0868
GLOBAL,PWRBIOINDEA,2050,0.0907
GLOBAL,PWRBIOINDNE,2023,0.0
GLOBAL,PWRBIOINDNE,2024,0.0009
GLOBAL,PWRBIOINDNE,2025,0.001
GLOBAL,PWRBIOINDNE,2026,0.0011
GLOBAL,PWRBIOINDNE,2027,0.0011
GLOBAL,PWRBIOINDNE,2028,0.0011
GLOBAL,PWRBIOINDNE,2029,0.0013
GLOBAL,PWRBIOINDNE,2030,0.0012
GLOBAL,PWRBIOINDNE,2031,0.0012
GLOBAL,PWRBIOINDNE,2032,0.0014
GLOBAL,PWRBIOINDNE,2033,0.0014
GLOBAL,PWRBIOINDNE,2034,0.0014
GLOBAL,PWRBIOINDNE,2035,0.0014
GLOBAL,PWRBIOINDNE,2036,0.0014
GLOBAL,PWRBIOINDNE,2037,0.0016
GLOBAL,PWRBIOINDNE,2038,0.0016
GLOBAL,PWRBIOINDNE,2039,0.0016
GLOBAL,PWRBIOINDNE,2040,0.0016
GLOBAL,PWRBIOINDNE,2041,0.0016
GLOBAL,PWRBIOINDNE,2042,0.0019
GLOBAL,PWRBIOINDNE,2043,0.002
GLOBAL,PWRBIOINDNE,2044,0.002
GLOBAL,PWRBIOINDNE,2045,0.0021
GLOBAL,PWRBIOINDNE,2046,0.0022
GLOBAL,PWRBIOINDNE,2047,0.0023
GLOBAL,PWRBIOINDNE,2048,0.0025
GLOBAL,PWRBIOINDNE,2049,0.0026
GLOBAL,PWRBIOINDNE,2050,0.0027
GLOBAL,PWRBIOINDNO,2023,0.0
GLOBAL,PWRBIOINDNO,2024,0.1891
GLOBAL,PWRBIOINDNO,2025,0.1999
GLOBAL,PWRBIOINDNO,2026,0.2147
GLOBAL,PWRBIOINDNO,2027,0.2279
GLOBAL,PWRBIOINDNO,2028,0.2396
GLOBAL,PWRBIOINDNO,2029,0.2801
GLOBAL,PWRBIOINDNO,2030,0.2131
GLOBAL,PWRBIOINDNO,2031,0.2149
GLOBAL,PWRBIOINDNO,2032,0.2527
GLOBAL,PWRBIOINDNO,2033,0.2527
GLOBAL,PWRBIOINDNO,2034,0.2527
GLOBAL,PWRBIOINDNO,2035,0.2527
GLOBAL,PWRBIOINDNO,2036,0.2527
GLOBAL,PWRBIOINDNO,2037,0.2748
GLOBAL,PWRBIOINDNO,2038,0.2748
GLOBAL,PWRBIOINDNO,2039,0.2748
GLOBAL,PWRBIOINDNO,2040,0.2625
GLOBAL,PWRBIOINDNO,2041,0.2743
GLOBAL,PWRBIOINDNO,2042,0.3082
GLOBAL,PWRBIOINDNO,2043,0.3209
GLOBAL,PWRBIOINDNO,2044,0.3298
GLOBAL,PWRBIOINDNO,2045,0.3366
GLOBAL,PWRBIOINDNO,2046,0.3607
GLOBAL,PWRBIOINDNO,2047,0.3753
GLOBAL,PWRBIOINDNO,2048,0.3904
GLOBAL,PWRBIOINDNO,2049,0.4062
GLOBAL,PWRBIOINDNO,2050,0.4226
GLOBAL,PWRBIOINDSO,2023,0.0
GLOBAL,PWRBIOINDSO,2024,0.2147
GLOBAL,PWRBIOINDSO,2025,0.228
GLOBAL,PWRBIOINDSO,2026,0.251
GLOBAL,PWRBIOINDSO,2027,0.254
GLOBAL,PWRBIOINDSO,2028,0.2645
GLOBAL,PWRBIOINDSO,2029,0.3064
GLOBAL,PWRBIOINDSO,2030,0.2372
GLOBAL,PWRBIOINDSO,2031,0.2312
GLOBAL,PWRBIOINDSO,2032,0.2777
GLOBAL,PWRBIOINDSO,2033,0.2777
GLOBAL,PWRBIOINDSO,2034,0.2777
GLOBAL,PWRBIOINDSO,2035,0.2777
GLOBAL,PWRBIOINDSO,2036,0.2777
GLOBAL,PWRBIOINDSO,2037,0.2969
GLOBAL,PWRBIOINDSO,2038,0.2969
GLOBAL,PWRBIOINDSO,2039,0.2969
GLOBAL,PWRBIOINDSO,2040,0.2899
GLOBAL,PWRBIOINDSO,2041,0.2967
GLOBAL,PWRBIOINDSO,2042,0.3321
GLOBAL,PWRBIOINDSO,2043,0.345
GLOBAL,PWRBIOINDSO,2044,0.3584
GLOBAL,PWRBIOINDSO,2045,0.3723
GLOBAL,PWRBIOINDSO,2046,0.3868
GLOBAL,PWRBIOINDSO,2047,0.4018
GLOBAL,PWRBIOINDSO,2048,0.4174
GLOBAL,PWRBIOINDSO,2049,0.4336
GLOBAL,PWRBIOINDSO,2050,0.4505
GLOBAL,PWRBIOINDWE,2023,0.0
GLOBAL,PWRBIOINDWE,2024,0.1869
GLOBAL,PWRBIOINDWE,2025,0.2045
GLOBAL,PWRBIOINDWE,2026,0.2306
GLOBAL,PWRBIOINDWE,2027,0.2224
GLOBAL,PWRBIOINDWE,2028,0.2304
GLOBAL,PWRBIOINDWE,2029,0.2844
GLOBAL,PWRBIOINDWE,2030,0.1623
GLOBAL,PWRBIOINDWE,2031,0.1554
GLOBAL,PWRBIOINDWE,2032,0.2346
GLOBAL,PWRBIOINDWE,2033,0.2346
GLOBAL,PWRBIOINDWE,2034,0.2346
GLOBAL,PWRBIOINDWE,2035,0.2346
GLOBAL,PWRBIOINDWE,2036,0.2346
GLOBAL,PWRBIOINDWE,2037,0.2588
GLOBAL,PWRBIOINDWE,2038,0.2588
GLOBAL,PWRBIOINDWE,2039,0.2588
GLOBAL,PWRBIOINDWE,2040,0.2588
GLOBAL,PWRBIOINDWE,2041,0.2588
GLOBAL,PWRBIOINDWE,2042,0.2905
GLOBAL,PWRBIOINDWE,2043,0.302
GLOBAL,PWRBIOINDWE,2044,0.314
GLOBAL,PWRBIOINDWE,2045,0.3265
GLOBAL,PWRBIOINDWE,2046,0.3395
GLOBAL,PWRBIOINDWE,2047,0.353
GLOBAL,PWRBIOINDWE,2048,0.367
GLOBAL,PWRBIOINDWE,2049,0.3816
GLOBAL,PWRBIOINDWE,2050,0.3968
GLOBAL,PWRBIOLKAXX,2023,0.0
GLOBAL,PWRBIOLKAXX,2024,0.0035
GLOBAL,PWRBIOLKAXX,2025,0.0101
GLOBAL,PWRBIOLKAXX,2026,0.0152
GLOBAL,PWRBIOLKAXX,2027,0.0202
GLOBAL,PWRBIOLKAXX,2028,0.0202
GLOBAL,PWRBIOLKAXX,2029,0.0202
GLOBAL,PWRBIOLKAXX,2030,0.0202
GLOBAL,PWRBIOLKAXX,2031,0.0202
GLOBAL,PWRBIOLKAXX,2032,0.0033
GLOBAL,PWRBIOLKAXX,2033,0.0034
GLOBAL,PWRBIOLKAXX,2034,0.0036
GLOBAL,PWRBIOLKAXX,2035,0.0039
GLOBAL,PWRBIOLKAXX,2036,0.0042
GLOBAL,PWRBIOLKAXX,2037,0.0044
GLOBAL,PWRBIOLKAXX,2038,0.0047
GLOBAL,PWRBIOLKAXX,2039,0.0048
GLOBAL,PWRBIOLKAXX,2040,0.0051
GLOBAL,PWRBIOLKAXX,2041,0.0053
GLOBAL,PWRBIOLKAXX,2042,0.0054
