REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBCKBGDXX,31.536
GLOBAL,PWRBCKBTNXX,31.536
GLOBAL,PWRBCKINDEA,31.536
GLOBAL,PWRBCKINDNE,31.536
GLOBAL,PWRBCKINDNO,31.536
GLOBAL,PWRBCKINDSO,31.536
GLOBAL,PWRBCKINDWE,31.536
GLOBAL,PWRBCKLKAXX,31.536
GLOBAL,PWRBCKMDVXX,31.536
GLOBAL,PWRBCKNPLXX,31.536
GLOBAL,PWRBIOBGDXX,31.536
GLOBAL,PWRBIOINDEA,31.536
GLOBAL,PWRBIOINDNE,31.536
GLOBAL,PWRBIOINDNO,31.536
GLOBAL,PWRBIOINDSO,31.536
GLOBAL,PWRBIOINDWE,31.536
GLOBAL,PWRBIOLKAXX,31.536
GLOBAL,PWRBIONPLXX,31.536
GLOBAL,PWRCCSBGDXX,31.536
GLOBAL,PWRCCSINDEA,31.536
GLOBAL,PWRCCSINDNE,31.536
GLOBAL,PWRCCSINDNO,31.536
GLOBAL,PWRCCSINDSO,31.536
GLOBAL,PWRCCSINDWE,31.536
GLOBAL,PWRCOABGDXX,31.536
GLOBAL,PWRCOAINDEA,31.536
GLOBAL,PWRCOAINDNE,31.536
GLOBAL,PWRCOAINDNO,31.536
GLOBAL,PWRCOAINDSO,31.536
GLOBAL,PWRCOAINDWE,31.536
GLOBAL,PWRCOALKAXX,31.536
GLOBAL,PWRCOGBGDXX,31.536
GLOBAL,PWRCOGINDEA,31.536
GLOBAL,PWRCOGINDNE,31.536
GLOBAL,PWRCOGINDNO,31.536
GLOBAL,PWRCOGINDSO,31.536
GLOBAL,PWRCOGINDWE,31.536
GLOBAL,PWRCOGLKAXX,31.536
GLOBAL,PWRCSPINDEA,31.536
GLOBAL,PWRCSPINDNE,31.536
GLOBAL,PWRCSPINDNO,31.536
GLOBAL,PWRCSPINDSO,31.536
GLOBAL,PWRCSPINDWE,31.536
GLOBAL,PWRHYDBGDXX,31.536
GLOBAL,PWRHYDBTNXX,31.536
GLOBAL,PWRHYDINDEA,31.536
GLOBAL,PWRHYDINDNE,31.536
GLOBAL,PWRHYDINDNO,31.536
GLOBAL,PWRHYDINDSO,31.536
GLOBAL,PWRHYDINDWE,31.536
GLOBAL,PWRHYDLKAXX,31.536
GLOBAL,PWRHYDNPLXX,31.536
GLOBAL,PWRLDSBGDXX,31.536
GLOBAL,PWRLDSBTNXX,31.536
GLOBAL,PWRLDSINDEA,31.536
GLOBAL,PWRLDSINDNE,31.536
GLOBAL,PWRLDSINDNO,31.536
GLOBAL,PWRLDSINDSO,31.536
GLOBAL,PWRLDSINDWE,31.536
GLOBAL,PWRLDSLKAXX,31.536
GLOBAL,PWRLDSMDVXX,31.536
GLOBAL,PWRLDSNPLXX,31.536
GLOBAL,PWRNGSINDEA,31.536
GLOBAL,PWRNGSINDNE,31.536
GLOBAL,PWRNGSINDNO,31.536
GLOBAL,PWRNGSINDSO,31.536
GLOBAL,PWRNGSINDWE,31.536
GLOBAL,PWRNGSLKAXX,31.536
GLOBAL,PWROILBGDXX,31.536
GLOBAL,PWROILINDEA,31.536
GLOBAL,PWROILINDNE,31.536
GLOBAL,PWROILINDNO,31.536
GLOBAL,PWROILINDSO,31.536
GLOBAL,PWROILINDWE,31.536
GLOBAL,PWROILLKAXX,31.536
GLOBAL,PWROTHBGDXX,31.536
GLOBAL,PWROTHBTNXX,31.536
GLOBAL,PWROTHINDEA,31.536
GLOBAL,PWROTHINDNE,31.536
GLOBAL,PWROTHINDNO,31.536
GLOBAL,PWROTHINDSO,31.536
GLOBAL,PWROTHINDWE,31.536
GLOBAL,PWROTHLKAXX,31.536
GLOBAL,PWROTHMDVXX,31.536
GLOBAL,PWROTHNPLXX,31.536
GLOBAL,PWRPETBGDXX,31.536
GLOBAL,PWRPETBTNXX,31.536
GLOBAL,PWRPETINDEA,31.536
GLOBAL,PWRPETINDNE,31.536
GLOBAL,PWRPETINDNO,31.536
GLOBAL,PWRPETINDSO,31.536
GLOBAL,PWRPETINDWE,31.536
GLOBAL,PWRPETLKAXX,31.536
GLOBAL,PWRPETMDVXX,31.536
GLOBAL,PWRPETNPLXX,31.536
GLOBAL,PWRSDSBGDXX,31.536
GLOBAL,PWRSDSBTNXX,31.536
GLOBAL,PWRSDSINDEA,31.536
GLOBAL,PWRSDSINDNE,31.536
GLOBAL,PWRSDSINDNO,31.536
GLOBAL,PWRSDSINDSO,31.536
GLOBAL,PWRSDSINDWE,31.536
GLOBAL,PWRSDSLKAXX,31.536
GLOBAL,PWRSDSMDVXX,31.536
GLOBAL,PWRSDSNPLXX,31.536
GLOBAL,PWRSPVBGDXX,31.536
GLOBAL,PWRSPVBTNXX,31.536
GLOBAL,PWRSPVINDEA,31.536
GLOBAL,PWRSPVINDNE,31.536
GLOBAL,PWRSPVINDNO,31.536
GLOBAL,PWRSPVINDSO,31.536
GLOBAL,PWRSPVINDWE,31.536
GLOBAL,PWRSPVLKAXX,31.536
GLOBAL,PWRSPVMDVXX,31.536
GLOBAL,PWRSPVNPLXX,31.536
GLOBAL,PWRTRNBGDXX,31.536
