REGION,TECHNOLOGY,VALUE
GLOBAL,DSPTRNBGDXX,20.0
GLOBAL,DSPTRNBTNXX,20.0
GLOBAL,DSPTRNINDEA,20.0
GLOBAL,DSPTRNINDNE,20.0
GLOBAL,DSPTRNINDNO,20.0
GLOBAL,DSPTRNINDSO,20.0
GLOBAL,DSPTRNINDWE,20.0
GLOBAL,DSPTRNLKAXX,20.0
GLOBAL,DSPTRNMDVXX,20.0
GLOBAL,DSPTRNNPLXX,20.0
GLOBAL,PWRBCKBGDXX,1.0
GLOBAL,PWRBCKBTNXX,1.0
GLOBAL,PWRBCKINDEA,1.0
GLOBAL,PWRBCKINDNE,1.0
GLOBAL,PWRBCKINDNO,1.0
GLOBAL,PWRBCKINDSO,1.0
GLOBAL,PWRBCKINDWE,1.0
GLOBAL,PWRBCKLKAXX,1.0
GLOBAL,PWRBCKNPLXX,1.0
GLOBAL,PWRBIOBGDXX,30.0
GLOBAL,PWRBIOINDEA,30.0
GLOBAL,PWRBIOINDNE,30.0
GLOBAL,PWRBIOINDNO,30.0
GLOBAL,PWRBIOINDSO,30.0
GLOBAL,PWRBIOINDWE,30.0
GLOBAL,PWRBIOLKAXX,30.0
GLOBAL,PWRBIONPLXX,30.0
GLOBAL,PWRCCSBGDXX,30.0
GLOBAL,PWRCCSINDEA,30.0
GLOBAL,PWRCCSINDNE,30.0
GLOBAL,PWRCCSINDNO,30.0
GLOBAL,PWRCCSINDSO,30.0
GLOBAL,PWRCCSINDWE,30.0
GLOBAL,PWRCOABGDXX,30.0
GLOBAL,PWRCOAINDEA,30.0
GLOBAL,PWRCOAINDNE,30.0
GLOBAL,PWRCOAINDNO,30.0
GLOBAL,PWRCOAINDSO,30.0
GLOBAL,PWRCOAINDWE,30.0
GLOBAL,PWRCOALKAXX,30.0
GLOBAL,PWRCOGBGDXX,30.0
GLOBAL,PWRCOGINDEA,30.0
GLOBAL,PWRCOGINDNE,30.0
GLOBAL,PWRCOGINDNO,30.0
GLOBAL,PWRCOGINDSO,30.0
GLOBAL,PWRCOGINDWE,30.0
GLOBAL,PWRCOGLKAXX,30.0
GLOBAL,PWRCSPINDEA,30.0
GLOBAL,PWRCSPINDNE,30.0
GLOBAL,PWRCSPINDNO,30.0
GLOBAL,PWRCSPINDSO,30.0
GLOBAL,PWRCSPINDWE,30.0
GLOBAL,PWRHYDBGDXX,100.0
GLOBAL,PWRHYDBTNXX,100.0
GLOBAL,PWRHYDINDEA,100.0
GLOBAL,PWRHYDINDNE,100.0
GLOBAL,PWRHYDINDNO,100.0
GLOBAL,PWRHYDINDSO,100.0
GLOBAL,PWRHYDINDWE,100.0
GLOBAL,PWRHYDLKAXX,100.0
GLOBAL,PWRHYDNPLXX,100.0
GLOBAL,PWRLDSBGDXX,60.0
GLOBAL,PWRLDSBTNXX,60.0
GLOBAL,PWRLDSINDEA,60.0
GLOBAL,PWRLDSINDNE,60.0
GLOBAL,PWRLDSINDNO,60.0
GLOBAL,PWRLDSINDSO,60.0
GLOBAL,PWRLDSINDWE,60.0
GLOBAL,PWRLDSLKAXX,60.0
GLOBAL,PWRLDSNPLXX,60.0
GLOBAL,PWRNGSINDEA,30.0
GLOBAL,PWRNGSINDNE,30.0
GLOBAL,PWRNGSINDNO,30.0
GLOBAL,PWRNGSINDSO,30.0
GLOBAL,PWRNGSINDWE,30.0
GLOBAL,PWRNGSLKAXX,30.0
GLOBAL,PWROILBGDXX,30.0
GLOBAL,PWROILINDEA,30.0
GLOBAL,PWROILINDNE,30.0
GLOBAL,PWROILINDNO,30.0
GLOBAL,PWROILINDSO,30.0
GLOBAL,PWROILINDWE,30.0
GLOBAL,PWROILLKAXX,30.0
GLOBAL,PWROTHBGDXX,30.0
GLOBAL,PWROTHBTNXX,30.0
GLOBAL,PWROTHINDEA,30.0
GLOBAL,PWROTHINDNE,30.0
GLOBAL,PWROTHINDNO,30.0
GLOBAL,PWROTHINDSO,30.0
GLOBAL,PWROTHINDWE,30.0
GLOBAL,PWROTHLKAXX,30.0
GLOBAL,PWROTHNPLXX,30.0
GLOBAL,PWRPETBGDXX,30.0
GLOBAL,PWRPETBTNXX,30.0
GLOBAL,PWRPETINDEA,30.0
GLOBAL,PWRPETINDNE,30.0
GLOBAL,PWRPETINDNO,30.0
GLOBAL,PWRPETINDSO,30.0
GLOBAL,PWRPETINDWE,30.0
GLOBAL,PWRPETLKAXX,30.0
GLOBAL,PWRPETNPLXX,30.0
GLOBAL,PWRSDSBGDXX,30.0
GLOBAL,PWRSDSBTNXX,30.0
GLOBAL,PWRSDSINDEA,30.0
GLOBAL,PWRSDSINDNE,30.0
GLOBAL,PWRSDSINDNO,30.0
GLOBAL,PWRSDSINDSO,30.0
GLOBAL,PWRSDSINDWE,30.0
GLOBAL,PWRSDSLKAXX,30.0
GLOBAL,PWRSDSNPLXX,30.0
GLOBAL,PWRSPVBGDXX,30.0
GLOBAL,PWRSPVBTNXX,30.0
GLOBAL,PWRSPVINDEA,30.0
GLOBAL,PWRSPVINDNE,30.0
GLOBAL,PWRSPVINDNO,30.0
GLOBAL,PWRSPVINDSO,30.0
GLOBAL,PWRSPVINDWE,30.0
GLOBAL,PWRSPVLKAXX,30.0
GLOBAL,PWRSPVNPLXX,30.0
GLOBAL,PWRTRNBGDXX,20.0
GLOBAL,PWRTRNBTNXX,20.0
GLOBAL,PWRTRNINDEA,20.0
GLOBAL,PWRTRNINDNE,20.0
GLOBAL,PWRTRNINDNO,20.0
GLOBAL,PWRTRNINDSO,20.0
GLOBAL,PWRTRNINDWE,20.0
GLOBAL,PWRTRNLKAXX,20.0
GLOBAL,PWRTRNMDVXX,20.0
GLOBAL,PWRTRNNPLXX,20.0
GLOBAL,PWRURNBGDXX,60.0
GLOBAL,PWRURNINDEA,60.0
GLOBAL,PWRURNINDNE,60.0
GLOBAL,PWRURNINDNO,60.0
