REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,2023,9999.0
GLOBAL,DSPTRNBGDXX,2024,9999.0
GLOBAL,DSPTRNBGDXX,2025,9999.0
GLOBAL,DSPTRNBGDXX,2026,9999.0
GLOBAL,DSPTRNBGDXX,2027,9999.0
GLOBAL,DSPTRNBGDXX,2028,9999.0
GLOBAL,DSPTRNBGDXX,2029,9999.0
GLOBAL,DSPTRNBGDXX,2030,9999.0
GLOBAL,DSPTRNBGDXX,2031,9999.0
GLOBAL,DSPTRNBGDXX,2032,9999.0
GLOBAL,DSPTRNBGDXX,2033,9999.0
GLOBAL,DSPTRNBGDXX,2034,9999.0
GLOBAL,DSPTRNBGDXX,2035,9999.0
GLOBAL,DSPTRNBGDXX,2036,9999.0
GLOBAL,DSPTRNBGDXX,2037,9999.0
GLOBAL,DSPTRNBGDXX,2038,9999.0
GLOBAL,DSPTRNBGDXX,2039,9999.0
GLOBAL,DSPTRNBGDXX,2040,9999.0
GLOBAL,DSPTRNBGDXX,2041,9999.0
GLOBAL,DSPTRNBGDXX,2042,9999.0
GLOBAL,DSPTRNBGDXX,2043,9999.0
GLOBAL,DSPTRNBGDXX,2044,9999.0
GLOBAL,DSPTRNBGDXX,2045,9999.0
GLOBAL,DSPTRNBGDXX,2046,9999.0
GLOBAL,DSPTRNBGDXX,2047,9999.0
GLOBAL,DSPTRNBGDXX,2048,9999.0
GLOBAL,DSPTRNBGDXX,2049,9999.0
GLOBAL,DSPTRNBGDXX,2050,9999.0
GLOBAL,DSPTRNBTNXX,2023,9999.0
GLOBAL,DSPTRNBTNXX,2024,9999.0
GLOBAL,DSPTRNBTNXX,2025,9999.0
GLOBAL,DSPTRNBTNXX,2026,9999.0
GLOBAL,DSPTRNBTNXX,2027,9999.0
GLOBAL,DSPTRNBTNXX,2028,9999.0
GLOBAL,DSPTRNBTNXX,2029,9999.0
GLOBAL,DSPTRNBTNXX,2030,9999.0
GLOBAL,DSPTRNBTNXX,2031,9999.0
GLOBAL,DSPTRNBTNXX,2032,9999.0
GLOBAL,DSPTRNBTNXX,2033,9999.0
GLOBAL,DSPTRNBTNXX,2034,9999.0
GLOBAL,DSPTRNBTNXX,2035,9999.0
GLOBAL,DSPTRNBTNXX,2036,9999.0
