REGION,FUEL,YEAR,VALUE
GLOBAL,ELCBGDXX03,2023,336.8045
GLOBAL,ELCBGDXX03,2024,361.9432
GLOBAL,ELCBGDXX03,2025,387.0819
GLOBAL,ELCBGDXX03,2026,412.2206
GLOBAL,ELCBGDXX03,2027,437.3593
GLOBAL,ELCBGDXX03,2028,462.498
GLOBAL,ELCBGDXX03,2029,487.6367
GLOBAL,ELCBGDXX03,2030,512.7754
GLOBAL,ELCBGDXX03,2031,556.8627
GLOBAL,ELCBGDXX03,2032,600.95
GLOBAL,ELCBGDXX03,2033,645.0373
GLOBAL,ELCBGDXX03,2034,689.1247
GLOBAL,ELCBGDXX03,2035,733.212
GLOBAL,ELCBGDXX03,2036,777.2993
GLOBAL,ELCBGDXX03,2037,821.3867
GLOBAL,ELCBGDXX03,2038,865.474
GLOBAL,ELCBGDXX03,2039,909.5613
GLOBAL,ELCBGDXX03,2040,953.6486
GLOBAL,ELCBGDXX03,2041,719.0208
GLOBAL,ELCBGDXX03,2042,787.3488
GLOBAL,ELCBGDXX03,2043,855.6768
GLOBAL,ELCBGDXX03,2044,924.0048
GLOBAL,ELCBGDXX03,2045,992.3328
GLOBAL,ELCBGDXX03,2046,1060.6608
GLOBAL,ELCBGDXX03,2047,1128.9888
GLOBAL,ELCBGDXX03,2048,1197.3168
GLOBAL,ELCBGDXX03,2049,1265.6448
GLOBAL,ELCBGDXX03,2050,1333.9728
GLOBAL,ELCBTNXX03,2023,12.8643
GLOBAL,ELCBTNXX03,2024,13.761
GLOBAL,ELCBTNXX03,2025,14.6577
GLOBAL,ELCBTNXX03,2026,15.5544
GLOBAL,ELCBTNXX03,2027,16.4511
GLOBAL,ELCBTNXX03,2028,17.3478
GLOBAL,ELCBTNXX03,2029,18.2445
GLOBAL,ELCBTNXX03,2030,19.1412
GLOBAL,ELCBTNXX03,2031,20.0983
GLOBAL,ELCBTNXX03,2032,21.1032
GLOBAL,ELCBTNXX03,2033,22.1583
GLOBAL,ELCBTNXX03,2034,23.2662
GLOBAL,ELCBTNXX03,2035,24.4296
GLOBAL,ELCBTNXX03,2036,25.651
GLOBAL,ELCBTNXX03,2037,26.9336
GLOBAL,ELCBTNXX03,2038,28.2803
GLOBAL,ELCBTNXX03,2039,29.6943
GLOBAL,ELCBTNXX03,2040,31.179
GLOBAL,ELCBTNXX03,2041,32.7379
GLOBAL,ELCBTNXX03,2042,34.3748
GLOBAL,ELCBTNXX03,2043,36.0936
GLOBAL,ELCBTNXX03,2044,37.8983
GLOBAL,ELCBTNXX03,2045,39.7932
GLOBAL,ELCBTNXX03,2046,41.7828
GLOBAL,ELCBTNXX03,2047,43.872
GLOBAL,ELCBTNXX03,2048,46.0656
GLOBAL,ELCBTNXX03,2049,48.3689
GLOBAL,ELCBTNXX03,2050,50.7873
GLOBAL,ELCINDEA03,2023,777.6288
GLOBAL,ELCINDEA03,2024,829.4544
GLOBAL,ELCINDEA03,2025,883.5732
GLOBAL,ELCINDEA03,2026,940.158
GLOBAL,ELCINDEA03,2027,999.342
GLOBAL,ELCINDEA03,2028,1061.2116
GLOBAL,ELCINDEA03,2029,1125.846
GLOBAL,ELCINDEA03,2030,1193.2812
GLOBAL,ELCINDEA03,2031,1263.582
GLOBAL,ELCINDEA03,2032,1337.346
GLOBAL,ELCINDEA03,2033,1415.0196
GLOBAL,ELCINDEA03,2034,1496.952
GLOBAL,ELCINDEA03,2035,1583.442
GLOBAL,ELCINDEA03,2036,1675.0008
GLOBAL,ELCINDEA03,2037,1757.0758
GLOBAL,ELCINDEA03,2038,1843.1726
GLOBAL,ELCINDEA03,2039,1933.488
GLOBAL,ELCINDEA03,2040,2028.2289
GLOBAL,ELCINDEA03,2041,2127.6121
GLOBAL,ELCINDEA03,2042,2231.8651
GLOBAL,ELCINDEA03,2043,2341.2265
GLOBAL,ELCINDEA03,2044,2455.9466
GLOBAL,ELCINDEA03,2045,2576.288
GLOBAL,ELCINDEA03,2046,2702.5261
GLOBAL,ELCINDEA03,2047,2834.9499
GLOBAL,ELCINDEA03,2048,2973.8624
GLOBAL,ELCINDEA03,2049,3119.5817
GLOBAL,ELCINDEA03,2050,3272.4412
GLOBAL,ELCINDNE03,2023,73.836
GLOBAL,ELCINDNE03,2024,77.1624
GLOBAL,ELCINDNE03,2025,80.5068
GLOBAL,ELCINDNE03,2026,83.8944
GLOBAL,ELCINDNE03,2027,87.3648
GLOBAL,ELCINDNE03,2028,90.9216
GLOBAL,ELCINDNE03,2029,94.5648
GLOBAL,ELCINDNE03,2030,98.2944
GLOBAL,ELCINDNE03,2031,102.1104
GLOBAL,ELCINDNE03,2032,106.0632
GLOBAL,ELCINDNE03,2033,110.1816
GLOBAL,ELCINDNE03,2034,114.4656
GLOBAL,ELCINDNE03,2035,118.926
GLOBAL,ELCINDNE03,2036,123.588
GLOBAL,ELCINDNE03,2037,129.6438
GLOBAL,ELCINDNE03,2038,135.9964
GLOBAL,ELCINDNE03,2039,142.6602
GLOBAL,ELCINDNE03,2040,149.6505
GLOBAL,ELCINDNE03,2041,156.9834
GLOBAL,ELCINDNE03,2042,164.6756
GLOBAL,ELCINDNE03,2043,172.7447
GLOBAL,ELCINDNE03,2044,181.2092
GLOBAL,ELCINDNE03,2045,190.0884
GLOBAL,ELCINDNE03,2046,199.4028
GLOBAL,ELCINDNE03,2047,209.1735
GLOBAL,ELCINDNE03,2048,219.423
GLOBAL,ELCINDNE03,2049,230.1747
GLOBAL,ELCINDNE03,2050,241.4533
GLOBAL,ELCINDNO03,2023,1855.782
GLOBAL,ELCINDNO03,2024,1955.9016
GLOBAL,ELCINDNO03,2025,2058.8904
GLOBAL,ELCINDNO03,2026,2165.4144
GLOBAL,ELCINDNO03,2027,2275.7868
GLOBAL,ELCINDNO03,2028,2390.1588
GLOBAL,ELCINDNO03,2029,2508.5808
GLOBAL,ELCINDNO03,2030,2631.1032
GLOBAL,ELCINDNO03,2031,2757.7692
GLOBAL,ELCINDNO03,2032,2889.9144
GLOBAL,ELCINDNO03,2033,3028.1904
GLOBAL,ELCINDNO03,2034,3176.5717
GLOBAL,ELCINDNO03,2035,3332.2237
GLOBAL,ELCINDNO03,2036,3495.5027
GLOBAL,ELCINDNO03,2037,3666.7823
GLOBAL,ELCINDNO03,2038,3846.4547
GLOBAL,ELCINDNO03,2039,4034.931
GLOBAL,ELCINDNO03,2040,4232.6426
GLOBAL,ELCINDNO03,2041,4440.0421
GLOBAL,ELCINDNO03,2042,4657.6041
GLOBAL,ELCINDNO03,2043,4885.8267
GLOBAL,ELCINDNO03,2044,5125.2322
GLOBAL,ELCINDNO03,2045,5376.3686
GLOBAL,ELCINDNO03,2046,5639.8107
GLOBAL,ELCINDNO03,2047,5916.1614
GLOBAL,ELCINDNO03,2048,6206.0533
GLOBAL,ELCINDNO03,2049,6510.1499
GLOBAL,ELCINDNO03,2050,6829.1473
GLOBAL,ELCINDSO03,2023,1528.2288
GLOBAL,ELCINDSO03,2024,1607.3892
GLOBAL,ELCINDSO03,2025,1688.7024
GLOBAL,ELCINDSO03,2026,1772.7552
GLOBAL,ELCINDSO03,2027,1859.6736
