REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCSPINDEA,2023,79.1002
GLOBAL,PWRCSPINDEA,2024,79.1002
GLOBAL,PWRCSPINDEA,2025,79.1002
GLOBAL,PWRCSPINDEA,2026,79.1002
GLOBAL,PWRCSPINDEA,2027,79.1002
GLOBAL,PWRCSPINDEA,2028,79.1002
GLOBAL,PWRCSPINDEA,2029,79.1002
GLOBAL,PWRCSPINDEA,2030,79.1002
GLOBAL,PWRCSPINDEA,2031,79.1002
GLOBAL,PWRCSPINDEA,2032,79.1002
GLOBAL,PWRCSPINDEA,2033,79.1002
GLOBAL,PWRCSPINDEA,2034,79.1002
GLOBAL,PWRCSPINDEA,2035,79.1002
GLOBAL,PWRCSPINDEA,2036,79.1002
GLOBAL,PWRCSPINDEA,2037,79.1002
GLOBAL,PWRCSPINDEA,2038,79.1002
GLOBAL,PWRCSPINDEA,2039,79.1002
GLOBAL,PWRCSPINDEA,2040,79.1002
GLOBAL,PWRCSPINDEA,2041,79.1002
GLOBAL,PWRCSPINDEA,2042,79.1002
GLOBAL,PWRCSPINDEA,2043,79.1002
GLOBAL,PWRCSPINDEA,2044,79.1002
GLOBAL,PWRCSPINDEA,2045,79.1002
GLOBAL,PWRCSPINDEA,2046,79.1002
GLOBAL,PWRCSPINDEA,2047,79.1002
GLOBAL,PWRCSPINDEA,2048,79.1002
GLOBAL,PWRCSPINDEA,2049,79.1002
GLOBAL,PWRCSPINDEA,2050,79.1002
GLOBAL,PWRCSPINDNE,2023,49.6002
GLOBAL,PWRCSPINDNE,2024,49.6002
GLOBAL,PWRCSPINDNE,2025,49.6002
GLOBAL,PWRCSPINDNE,2026,49.6002
GLOBAL,PWRCSPINDNE,2027,49.6002
GLOBAL,PWRCSPINDNE,2028,49.6002
GLOBAL,PWRCSPINDNE,2029,49.6002
GLOBAL,PWRCSPINDNE,2030,49.6002
GLOBAL,PWRCSPINDNE,2031,49.6002
GLOBAL,PWRCSPINDNE,2032,49.6002
GLOBAL,PWRCSPINDNE,2033,49.6002
GLOBAL,PWRCSPINDNE,2034,49.6002
GLOBAL,PWRCSPINDNE,2035,49.6002
GLOBAL,PWRCSPINDNE,2036,49.6002
GLOBAL,PWRCSPINDNE,2037,49.6002
GLOBAL,PWRCSPINDNE,2038,49.6002
GLOBAL,PWRCSPINDNE,2039,49.6002
GLOBAL,PWRCSPINDNE,2040,49.6002
GLOBAL,PWRCSPINDNE,2041,49.6002
GLOBAL,PWRCSPINDNE,2042,49.6002
GLOBAL,PWRCSPINDNE,2043,49.6002
GLOBAL,PWRCSPINDNE,2044,49.6002
GLOBAL,PWRCSPINDNE,2045,49.6002
GLOBAL,PWRCSPINDNE,2046,49.6002
GLOBAL,PWRCSPINDNE,2047,49.6002
GLOBAL,PWRCSPINDNE,2048,49.6002
GLOBAL,PWRCSPINDNE,2049,49.6002
GLOBAL,PWRCSPINDNE,2050,49.6002
GLOBAL,PWRCSPINDNO,2023,191.3557
GLOBAL,PWRCSPINDNO,2024,191.3557
GLOBAL,PWRCSPINDNO,2025,191.3557
GLOBAL,PWRCSPINDNO,2026,191.3557
GLOBAL,PWRCSPINDNO,2027,191.3557
GLOBAL,PWRCSPINDNO,2028,191.3557
GLOBAL,PWRCSPINDNO,2029,191.3557
GLOBAL,PWRCSPINDNO,2030,191.3557
GLOBAL,PWRCSPINDNO,2031,191.3557
GLOBAL,PWRCSPINDNO,2032,191.3557
GLOBAL,PWRCSPINDNO,2033,191.3557
GLOBAL,PWRCSPINDNO,2034,191.3557
GLOBAL,PWRCSPINDNO,2035,191.3557
GLOBAL,PWRCSPINDNO,2036,191.3557
GLOBAL,PWRCSPINDNO,2037,191.3557
GLOBAL,PWRCSPINDNO,2038,191.3557
GLOBAL,PWRCSPINDNO,2039,191.3557
GLOBAL,PWRCSPINDNO,2040,191.3557
GLOBAL,PWRCSPINDNO,2041,191.3557
GLOBAL,PWRCSPINDNO,2042,191.3557
GLOBAL,PWRCSPINDNO,2043,191.3557
GLOBAL,PWRCSPINDNO,2044,191.3557
GLOBAL,PWRCSPINDNO,2045,191.3557
GLOBAL,PWRCSPINDNO,2046,191.3557
GLOBAL,PWRCSPINDNO,2047,191.3557
GLOBAL,PWRCSPINDNO,2048,191.3557
GLOBAL,PWRCSPINDNO,2049,191.3557
GLOBAL,PWRCSPINDNO,2050,191.3557
GLOBAL,PWRCSPINDSO,2023,120.3002
GLOBAL,PWRCSPINDSO,2024,120.3002
GLOBAL,PWRCSPINDSO,2025,120.3002
GLOBAL,PWRCSPINDSO,2026,120.3002
GLOBAL,PWRCSPINDSO,2027,120.3002
GLOBAL,PWRCSPINDSO,2028,120.3002
GLOBAL,PWRCSPINDSO,2029,120.3002
GLOBAL,PWRCSPINDSO,2030,120.3002
GLOBAL,PWRCSPINDSO,2031,120.3002
GLOBAL,PWRCSPINDSO,2032,120.3002
GLOBAL,PWRCSPINDSO,2033,120.3002
GLOBAL,PWRCSPINDSO,2034,120.3002
GLOBAL,PWRCSPINDSO,2035,120.3002
GLOBAL,PWRCSPINDSO,2036,120.3002
GLOBAL,PWRCSPINDSO,2037,120.3002
GLOBAL,PWRCSPINDSO,2038,120.3002
GLOBAL,PWRCSPINDSO,2039,120.3002
GLOBAL,PWRCSPINDSO,2040,120.3002
GLOBAL,PWRCSPINDSO,2041,120.3002
GLOBAL,PWRCSPINDSO,2042,120.3002
GLOBAL,PWRCSPINDSO,2043,120.3002
GLOBAL,PWRCSPINDSO,2044,120.3002
