REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,TRNBGDXXINDEA,2023,0.0
GLOBAL,TRNBGDXXINDEA,2024,0.0
GLOBAL,TRNBGDXXINDEA,2025,0.0
GLOBAL,TRNBGDXXINDEA,2026,0.0
GLOBAL,TRNBGDXXINDEA,2027,0.0
GLOBAL,TRNBGDXXINDEA,2028,0.0
GLOBAL,TRNBGDXXINDEA,2029,0.0
GLOBAL,TRNBGDXXINDEA,2030,0.5
GLOBAL,TRNBGDXXINDEA,2031,0.5
GLOBAL,TRNBGDXXINDEA,2032,0.5
GLOBAL,TRNBGDXXINDEA,2033,0.5
GLOBAL,TRNBGDXXINDEA,2034,0.5
GLOBAL,TRNBGDXXINDEA,2035,0.5
GLOBAL,TRNBGDXXINDEA,2036,0.5
GLOBAL,TRNBGDXXINDEA,2037,0.5
GLOBAL,TRNBGDXXINDEA,2038,0.5
GLOBAL,TRNBGDXXINDEA,2039,0.5
GLOBAL,TRNBGDXXINDEA,2040,0.5
GLOBAL,TRNBGDXXINDEA,2041,0.5
GLOBAL,TRNBGDXXINDEA,2042,0.5
GLOBAL,TRNBGDXXINDEA,2043,0.5
GLOBAL,TRNBGDXXINDEA,2044,0.5
GLOBAL,TRNBGDXXINDEA,2045,0.5
GLOBAL,TRNBGDXXINDEA,2046,0.5
GLOBAL,TRNBGDXXINDEA,2047,0.5
GLOBAL,TRNBGDXXINDEA,2048,0.5
GLOBAL,TRNBGDXXINDEA,2049,0.5
GLOBAL,TRNBGDXXINDEA,2050,0.5
GLOBAL,TRNBGDXXINDNE,2023,0.0
GLOBAL,TRNBGDXXINDNE,2024,0.0
GLOBAL,TRNBGDXXINDNE,2025,0.0
GLOBAL,TRNBGDXXINDNE,2026,0.0
GLOBAL,TRNBGDXXINDNE,2027,0.0
GLOBAL,TRNBGDXXINDNE,2028,0.0
GLOBAL,TRNBGDXXINDNE,2029,0.0
GLOBAL,TRNBGDXXINDNE,2030,0.5
GLOBAL,TRNBGDXXINDNE,2031,0.5
GLOBAL,TRNBGDXXINDNE,2032,0.5
GLOBAL,TRNBGDXXINDNE,2033,0.5
GLOBAL,TRNBGDXXINDNE,2034,0.5
GLOBAL,TRNBGDXXINDNE,2035,0.5
GLOBAL,TRNBGDXXINDNE,2036,0.5
GLOBAL,TRNBGDXXINDNE,2037,0.5
GLOBAL,TRNBGDXXINDNE,2038,0.5
GLOBAL,TRNBGDXXINDNE,2039,0.5
GLOBAL,TRNBGDXXINDNE,2040,0.5
GLOBAL,TRNBGDXXINDNE,2041,0.5
GLOBAL,TRNBGDXXINDNE,2042,0.5
GLOBAL,TRNBGDXXINDNE,2043,0.5
GLOBAL,TRNBGDXXINDNE,2044,0.5
GLOBAL,TRNBGDXXINDNE,2045,0.5
GLOBAL,TRNBGDXXINDNE,2046,0.5
GLOBAL,TRNBGDXXINDNE,2047,0.5
GLOBAL,TRNBGDXXINDNE,2048,0.5
GLOBAL,TRNBGDXXINDNE,2049,0.5
GLOBAL,TRNBGDXXINDNE,2050,0.5
GLOBAL,TRNBTNXXINDEA,2023,0.0
GLOBAL,TRNBTNXXINDEA,2024,0.0
GLOBAL,TRNBTNXXINDEA,2025,0.0
GLOBAL,TRNBTNXXINDEA,2026,0.0
GLOBAL,TRNBTNXXINDEA,2027,0.0
GLOBAL,TRNBTNXXINDEA,2028,0.0
GLOBAL,TRNBTNXXINDEA,2029,0.0
GLOBAL,TRNBTNXXINDEA,2030,0.5
GLOBAL,TRNBTNXXINDEA,2031,0.5
GLOBAL,TRNBTNXXINDEA,2032,0.5
GLOBAL,TRNBTNXXINDEA,2033,0.5
GLOBAL,TRNBTNXXINDEA,2034,0.5
GLOBAL,TRNBTNXXINDEA,2035,0.5
GLOBAL,TRNBTNXXINDEA,2036,0.5
GLOBAL,TRNBTNXXINDEA,2037,0.5
GLOBAL,TRNBTNXXINDEA,2038,0.5
GLOBAL,TRNBTNXXINDEA,2039,0.5
GLOBAL,TRNBTNXXINDEA,2040,0.5
GLOBAL,TRNBTNXXINDEA,2041,0.5
GLOBAL,TRNBTNXXINDEA,2042,0.5
GLOBAL,TRNBTNXXINDEA,2043,0.5
GLOBAL,TRNBTNXXINDEA,2044,0.5
GLOBAL,TRNBTNXXINDEA,2045,0.5
GLOBAL,TRNBTNXXINDEA,2046,0.5
GLOBAL,TRNBTNXXINDEA,2047,0.5
GLOBAL,TRNBTNXXINDEA,2048,0.5
GLOBAL,TRNBTNXXINDEA,2049,0.5
GLOBAL,TRNBTNXXINDEA,2050,0.5
GLOBAL,TRNINDEAINDNE,2023,0.0
GLOBAL,TRNINDEAINDNE,2024,0.0
GLOBAL,TRNINDEAINDNE,2025,0.0
GLOBAL,TRNINDEAINDNE,2026,0.0
GLOBAL,TRNINDEAINDNE,2027,0.0
GLOBAL,TRNINDEAINDNE,2028,0.0
GLOBAL,TRNINDEAINDNE,2029,0.0
GLOBAL,TRNINDEAINDNE,2030,2.0
GLOBAL,TRNINDEAINDNE,2031,2.0
GLOBAL,TRNINDEAINDNE,2032,2.0
GLOBAL,TRNINDEAINDNE,2033,2.0
GLOBAL,TRNINDEAINDNE,2034,2.0
GLOBAL,TRNINDEAINDNE,2035,2.0
GLOBAL,TRNINDEAINDNE,2036,2.0
GLOBAL,TRNINDEAINDNE,2037,2.0
GLOBAL,TRNINDEAINDNE,2038,2.0
GLOBAL,TRNINDEAINDNE,2039,2.0
GLOBAL,TRNINDEAINDNE,2040,2.0
GLOBAL,TRNINDEAINDNE,2041,2.0
GLOBAL,TRNINDEAINDNE,2042,2.0
GLOBAL,TRNINDEAINDNE,2043,2.0
GLOBAL,TRNINDEAINDNE,2044,2.0
GLOBAL,TRNINDEAINDNE,2045,2.0
GLOBAL,TRNINDEAINDNE,2046,2.0
GLOBAL,TRNINDEAINDNE,2047,2.0
GLOBAL,TRNINDEAINDNE,2048,2.0
GLOBAL,TRNINDEAINDNE,2049,2.0
GLOBAL,TRNINDEAINDNE,2050,2.0
GLOBAL,TRNINDEAINDNO,2023,0.0
GLOBAL,TRNINDEAINDNO,2024,0.0
GLOBAL,TRNINDEAINDNO,2025,0.0
GLOBAL,TRNINDEAINDNO,2026,0.0
GLOBAL,TRNINDEAINDNO,2027,0.0
GLOBAL,TRNINDEAINDNO,2028,0.0
GLOBAL,TRNINDEAINDNO,2029,0.0
GLOBAL,TRNINDEAINDNO,2030,2.0
GLOBAL,TRNINDEAINDNO,2031,2.0
GLOBAL,TRNINDEAINDNO,2032,2.0
GLOBAL,TRNINDEAINDNO,2033,2.0
GLOBAL,TRNINDEAINDNO,2034,2.0
GLOBAL,TRNINDEAINDNO,2035,2.0
GLOBAL,TRNINDEAINDNO,2036,2.0
GLOBAL,TRNINDEAINDNO,2037,2.0
GLOBAL,TRNINDEAINDNO,2038,2.0
GLOBAL,TRNINDEAINDNO,2039,2.0
GLOBAL,TRNINDEAINDNO,2040,2.0
GLOBAL,TRNINDEAINDNO,2041,2.0
GLOBAL,TRNINDEAINDNO,2042,2.0
GLOBAL,TRNINDEAINDNO,2043,2.0
GLOBAL,TRNINDEAINDNO,2044,2.0
