REGION,YEAR,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,TIMESLICE,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,AvailabilityFactor,CapacityFactor,CapacityToActivityUnit,CapitalCost,CapitalCostStorage,Conversionld,Conversionlh,Conversionls,DaySplit,EmissionActivityRatio,FixedCost,InputActivityRatio,OperationalLife,OperationalLifeStorage,OutputActivityRatio,ReserveMargin,ReserveMarginTagFuel,ReserveMarginTagTechnology,ResidualCapacity,ResidualStorageCapacity,SpecifiedAnnualDemand,SpecifiedDemandProfile,StorageLevelStart,TechnologyFromStorage,TechnologyToStorage,TotalAnnualMaxCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,VariableCost,YearSplit
GLOBAL,2023.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2024.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2025.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2026.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2027.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2028.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2029.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2030.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2031.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2032.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2033.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2034.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2035.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2036.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2037.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2038.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2039.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2040.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2041.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2042.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2043.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2044.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2045.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2046.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2047.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2048.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2049.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2050.0,PWRBIOBGDXX,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2023.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2024.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2025.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2026.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2027.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL,2028.0,PWRBIOINDEA,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
