REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2BGD,2023,41.49647062829538
GLOBAL,CO2BGD,2024,41.49647062829537
GLOBAL,CO2BGD,2025,51.13492588596732
GLOBAL,CO2BGD,2026,51.13492588596733
GLOBAL,CO2BGD,2027,51.134925885967334
GLOBAL,CO2BGD,2028,51.13492588596732
GLOBAL,CO2BGD,2029,49.94910381487189
GLOBAL,CO2BGD,2030,48.764011929780814
GLOBAL,CO2BGD,2031,47.578189858685384
GLOBAL,CO2BGD,2032,46.39236778758995
GLOBAL,CO2BGD,2033,45.51999127616829
GLOBAL,CO2BGD,2034,45.02085088177885
GLOBAL,CO2BGD,2035,43.538291257012304
GLOBAL,CO2BGD,2036,42.63551537091647
GLOBAL,CO2BGD,2037,41.52684016529088
GLOBAL,CO2BGD,2038,40.34714373657115
GLOBAL,CO2BGD,2039,39.18407831867422
GLOBAL,CO2BGD,2040,38.15572751432949
GLOBAL,CO2BGD,2041,37.084747249732544
GLOBAL,CO2BGD,2042,35.934182999453135
GLOBAL,CO2BGD,2043,34.82717720356532
GLOBAL,CO2BGD,2044,33.695486721785024
GLOBAL,CO2BGD,2045,32.52375498180425
GLOBAL,CO2BGD,2046,31.305791262275754
GLOBAL,CO2BGD,2047,30.25981683085515
GLOBAL,CO2BGD,2048,29.014944147321135
GLOBAL,CO2BGD,2049,27.883119701643405
GLOBAL,CO2BGD,2050,26.838370053563487
GLOBAL,CO2BTN,2023,0.0
GLOBAL,CO2BTN,2024,0.0
GLOBAL,CO2BTN,2025,0.0
GLOBAL,CO2BTN,2026,0.0
GLOBAL,CO2BTN,2027,0.0
GLOBAL,CO2BTN,2028,0.0
GLOBAL,CO2BTN,2029,0.0
GLOBAL,CO2BTN,2030,0.0
GLOBAL,CO2BTN,2031,0.0
GLOBAL,CO2BTN,2032,0.0
GLOBAL,CO2BTN,2033,0.0
GLOBAL,CO2BTN,2034,0.0
GLOBAL,CO2BTN,2035,0.0
GLOBAL,CO2BTN,2036,0.0
GLOBAL,CO2BTN,2037,0.0
GLOBAL,CO2BTN,2038,0.0
GLOBAL,CO2BTN,2039,0.0
GLOBAL,CO2BTN,2040,0.0
GLOBAL,CO2BTN,2041,0.0
GLOBAL,CO2BTN,2042,0.0
