REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,90414.97526567716
GLOBAL,MINCOAINT,2024,88093.11174748499
GLOBAL,MINCOAINT,2025,80763.45090117326
GLOBAL,MINCOAINT,2026,75000.53092106507
GLOBAL,MINCOAINT,2027,71246.96015526568
GLOBAL,MINCOAINT,2028,68618.73623534547
GLOBAL,MINCOAINT,2029,65853.86862390266
GLOBAL,MINCOAINT,2030,61400.87454615913
GLOBAL,MINCOAINT,2031,57914.826451340006
GLOBAL,MINCOAINT,2032,54896.873983648846
GLOBAL,MINCOAINT,2033,52040.72284686359
GLOBAL,MINCOAINT,2034,49462.058098160276
GLOBAL,MINCOAINT,2035,46908.00458010279
GLOBAL,MINCOAINT,2036,44553.94512225881
GLOBAL,MINCOAINT,2037,42519.9475222767
GLOBAL,MINCOAINT,2038,40494.961816714516
GLOBAL,MINCOAINT,2039,38487.40235244229
GLOBAL,MINCOAINT,2040,36556.524512980315
GLOBAL,MINCOAINT,2041,34646.374370588885
GLOBAL,MINCOAINT,2042,32911.07584069648
GLOBAL,MINCOAINT,2043,31240.101977474333
GLOBAL,MINCOAINT,2044,29691.34416705066
GLOBAL,MINCOAINT,2045,28237.31869362733
GLOBAL,MINCOAINT,2046,26842.408512237664
GLOBAL,MINCOAINT,2047,25507.028671516066
GLOBAL,MINCOAINT,2048,24236.251594949023
GLOBAL,MINCOAINT,2049,23123.998704787686
GLOBAL,MINCOAINT,2050,22061.94475657987
GLOBAL,MINGASINT,2023,3482.115826119873
GLOBAL,MINGASINT,2024,718.0280502679872
GLOBAL,MINGASINT,2025,603.7844152875836
GLOBAL,MINGASINT,2026,625.2065013474738
GLOBAL,MINGASINT,2027,512.0123696651241
GLOBAL,MINGASINT,2028,453.17663347067975
GLOBAL,MINGASINT,2029,827.0016866265461
GLOBAL,MINGASINT,2030,1416.80280037264
GLOBAL,MINGASINT,2031,2095.969835723535
GLOBAL,MINGASINT,2032,2692.9026647185483
GLOBAL,MINGASINT,2033,3408.604765286995
GLOBAL,MINGASINT,2034,3562.566927911492
GLOBAL,MINGASINT,2035,3178.7286081535135
GLOBAL,MINGASINT,2036,3212.567790450692
GLOBAL,MINGASINT,2037,3125.9945217829686
GLOBAL,MINGASINT,2038,3014.79954253903
GLOBAL,MINGASINT,2039,2910.1094144217323
GLOBAL,MINGASINT,2040,2828.026799828737
GLOBAL,MINGASINT,2041,2729.7715966603373
GLOBAL,MINGASINT,2042,2607.1064016584332
GLOBAL,MINGASINT,2043,2486.5463492942276
GLOBAL,MINGASINT,2044,2377.7287144075844
GLOBAL,MINGASINT,2045,2258.009825573961
GLOBAL,MINGASINT,2046,2139.859082488226
GLOBAL,MINGASINT,2047,2032.544761464279
GLOBAL,MINGASINT,2048,1934.5925281506982
GLOBAL,MINGASINT,2049,1874.075875381824
GLOBAL,MINGASINT,2050,1967.2825995035905
GLOBAL,MINOILINT,2023,231.09171011453253
GLOBAL,MINOILINT,2024,372.1657048178076
GLOBAL,MINOILINT,2025,137.9419692262411
GLOBAL,MINOILINT,2026,31.14009113600582
GLOBAL,MINOILINT,2027,6.248606252999767
GLOBAL,MINOILINT,2028,5.568272945475977
GLOBAL,MINOILINT,2029,6.358017307769446
GLOBAL,MINOILINT,2030,6.109550187779941
GLOBAL,MINOILINT,2031,8.442698197340693
GLOBAL,MINOILINT,2032,14.161827891334406
GLOBAL,MINOILINT,2033,90.32666276489813
GLOBAL,MINOILINT,2034,178.05591283432958
GLOBAL,MINOILINT,2035,156.3522484975954
GLOBAL,MINOILINT,2036,176.55315491581268
GLOBAL,MINOILINT,2037,179.46578754309806
GLOBAL,MINOILINT,2038,180.5111240131546
GLOBAL,MINOILINT,2039,187.30381897416072
GLOBAL,MINOILINT,2040,196.60397764469135
GLOBAL,MINOILINT,2041,197.64410349554578
GLOBAL,MINOILINT,2042,189.87871421218392
GLOBAL,MINOILINT,2043,182.55029905629758
GLOBAL,MINOILINT,2044,174.66373856655702
GLOBAL,MINOILINT,2045,166.11542401398123
GLOBAL,MINOILINT,2046,156.2282171841048
GLOBAL,MINOILINT,2047,151.17567476154287
GLOBAL,MINOILINT,2048,141.76371731637803
GLOBAL,MINOILINT,2049,135.84571859899137
GLOBAL,MINOILINT,2050,130.4820155297756
GLOBAL,MINPETINT,2031,5.465777713539686
GLOBAL,MINPETINT,2032,12.15954196586087
GLOBAL,MINPETINT,2033,37.20195864303802
GLOBAL,MINPETINT,2034,149.96292342796798
GLOBAL,MINPETINT,2035,101.58093151413846
GLOBAL,MINPETINT,2036,149.92678240567352
GLOBAL,MINPETINT,2037,158.69861825782948
GLOBAL,MINPETINT,2038,163.3484434056628
GLOBAL,MINPETINT,2039,166.36946424835264
GLOBAL,MINPETINT,2040,170.76917306448325
GLOBAL,MINPETINT,2041,171.15206267225958
GLOBAL,MINPETINT,2042,169.01944039635518
GLOBAL,MINPETINT,2043,166.33035145540583
GLOBAL,MINPETINT,2044,162.73333289713747
GLOBAL,MINPETINT,2045,158.4156867093366
GLOBAL,MINPETINT,2046,150.40060830501758
GLOBAL,MINPETINT,2047,140.52086409066462
GLOBAL,MINPETINT,2048,135.57972989550115
GLOBAL,MINPETINT,2049,128.3131483599912
GLOBAL,MINPETINT,2050,122.13911277440504
GLOBAL,MINURNINT,2023,1168.3731355596483
GLOBAL,MINURNINT,2024,1317.5153699153
