REGION,STORAGE,SEASON,DAYTYPE,DAILYTIMEBRACKET,YEAR,VALUE
GLOBAL,LDSINDEA01,1,1,1,2035,-2.575047811220673e-08
GLOBAL,LDSINDEA01,1,1,1,2044,1.044328013578252e-07
GLOBAL,LDSINDEA01,1,1,5,2035,2.57504884124021e-08
GLOBAL,LDSINDEA01,2,1,1,2033,1.0443278739523389e-07
GLOBAL,LDSINDEA01,2,1,1,2038,0.0048999490401254
GLOBAL,LDSINDEA01,2,1,1,2039,-2.6322802714631407e-08
GLOBAL,LDSINDEA01,2,1,2,2031,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2032,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2033,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2034,0.0049000483600193
GLOBAL,LDSINDEA01,2,1,2,2035,0.0048999176045954
GLOBAL,LDSINDEA01,2,1,2,2036,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2037,0.0048999439272303
GLOBAL,LDSINDEA01,2,1,2,2039,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2040,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2041,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2042,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2043,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2044,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2045,0.0048999439272008
GLOBAL,LDSINDEA01,2,1,2,2046,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2047,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2048,0.0048999439272319
GLOBAL,LDSINDEA01,2,1,2,2049,0.0049000483600193
GLOBAL,LDSINDEA01,2,1,2,2050,0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2031,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2032,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2033,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2034,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2035,-0.0049000220368218
GLOBAL,LDSINDEA01,2,1,4,2036,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2037,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2038,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2039,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2040,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2041,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2042,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2043,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2044,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2045,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2046,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2047,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2048,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2049,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,4,2050,-0.0049000483600193
GLOBAL,LDSINDEA01,2,1,5,2038,1.9600193439918124e-08
GLOBAL,LDSINDEA01,2,1,5,2039,2.632323097277733e-08
GLOBAL,LDSINDEA01,2,1,5,2040,1.0443278739540145e-07
GLOBAL,LDSINDEA01,2,1,5,2042,1.0443278739603184e-07
GLOBAL,LDSINDEA01,2,1,5,2043,1.044327944282486e-07
GLOBAL,LDSINDEA01,2,1,5,2048,1.044327944282486e-07
GLOBAL,LDSINDEA01,3,1,1,2038,0.0003378640574132
GLOBAL,LDSINDEA01,3,1,1,2044,3.490645032128213e-08
GLOBAL,LDSINDEA01,3,1,1,2045,3.490641943211295e-08
GLOBAL,LDSINDEA01,3,1,2,2031,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,2,2037,3.490624838669178e-08
GLOBAL,LDSINDEA01,3,1,2,2038,-0.0003378614426868
GLOBAL,LDSINDEA01,3,1,2,2046,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,3,2032,1.0443278739523389e-07
GLOBAL,LDSINDEA01,3,1,3,2038,-6.550259604638906e-10
GLOBAL,LDSINDEA01,3,1,3,2045,6.952639910706567e-08
GLOBAL,LDSINDEA01,3,1,4,2035,1.0443221608070504e-07
