REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2023,427.32357267599997
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2024,456.30254369700003
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2025,487.246512753
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2026,520.28947971
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2027,555.572444427
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2028,593.2749032982
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2029,634.0911714350735
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2030,678.6656541987982
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2031,717.5628590543278
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2032,771.5404282360224
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2033,816.371226025116
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2034,864.3584586577043
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2035,900.5243644942898
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2036,950.2496726721535
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2037,1000.246701158191
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2038,1052.4329537279912
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2039,1106.7921166722706
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2040,1161.873518416611
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2041,1219.8101531513214
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2042,1267.6378213700104
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2043,1318.2838863825377
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2044,1371.3120433067274
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2045,1426.5034538387868
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2046,1484.6828256283238
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2047,1547.3459262099966
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2048,1612.1196465333092
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2049,1681.5705371394836
GLOBAL,DSPTRNBGDXX,ELCBGDXX03,2050,1755.1297761156645
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2023,36.55095743324569
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2024,39.16134382458538
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2025,53.80666250625578
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2026,56.79004345831731
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2027,65.28468937488671
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2028,74.94201109871241
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2029,78.46761810019768
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2030,139.37448449389015
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2031,143.29365823980297
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2032,147.48674606151727
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2033,151.97335296002316
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2034,156.7746696477478
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2035,194.81575083193474
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2036,200.31205163751738
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2037,206.19008376150433
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2038,212.48256511276935
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2039,219.21505737303485
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2040,226.41670033759868
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2041,234.1236222013516
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2042,242.36963027811797
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2043,251.19285445502888
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2044,260.7017819280624
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2045,271.01645861408815
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2046,282.04567138383095
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2047,293.99817782579385
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2048,306.8103928101237
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2049,320.32060111707466
GLOBAL,DSPTRNBTNXX,ELCBTNXX03,2050,334.1836885948951
GLOBAL,DSPTRNINDEA,ELCINDEA03,2023,892.8052744863907
GLOBAL,DSPTRNINDEA,ELCINDEA03,2024,1041.852935081842
GLOBAL,DSPTRNINDEA,ELCINDEA03,2025,1041.5385658427315
GLOBAL,DSPTRNINDEA,ELCINDEA03,2026,1106.0148019572453
GLOBAL,DSPTRNINDEA,ELCINDEA03,2027,1193.5569476630799
GLOBAL,DSPTRNINDEA,ELCINDEA03,2028,1299.5995242301656
GLOBAL,DSPTRNINDEA,ELCINDEA03,2029,1359.1472869656027
GLOBAL,DSPTRNINDEA,ELCINDEA03,2030,1441.743117654315
GLOBAL,DSPTRNINDEA,ELCINDEA03,2031,1506.8058134191624
GLOBAL,DSPTRNINDEA,ELCINDEA03,2032,1590.0753542026723
GLOBAL,DSPTRNINDEA,ELCINDEA03,2033,1657.8739729589493
GLOBAL,DSPTRNINDEA,ELCINDEA03,2034,1752.6179673109682
