REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D1,201.60267836681015
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D2,245.14273411211607
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D3,288.64245748562143
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D4,293.60585999032594
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S1D5,209.0061893654476
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D1,277.9823291228407
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D2,255.32864585138108
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D3,441.528832448147
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D4,474.15120249600005
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S2D5,420.52913134967866
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D1,319.6155675836852
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D2,272.04001257791083
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D3,294.23038848313706
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D4,343.22623879787346
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S3D5,294.71620476326444
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D1,238.7348277258551
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D2,226.31347708090047
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D3,276.58783544714606
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D4,282.5196592042783
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2023,S4D5,227.41275147109812
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D1,129.7509345067994
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D2,173.8781956735229
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D3,218.73671336448
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D4,222.1523404748982
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S1D5,137.95648085303642
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D1,211.6102412309178
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D2,194.48403391668597
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D3,445.82940532240207
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D4,474.2932772217601
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S2D5,426.7933763650341
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D1,249.92589778497825
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D2,199.12400396249257
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D3,222.95842191648
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D4,275.1377279350464
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S3D5,223.33798333822008
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D1,168.50280041977504
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D2,155.23909521401853
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D3,208.9228118917454
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D4,215.25690259540517
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2024,S4D5,156.41291695599972
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D1,298.29976131168
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D2,205.963071142735
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D3,298.37471639184
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D4,298.3709718072
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S1D5,298.36491437232
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D1,297.63528517728
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D2,234.8217223589085
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D3,435.6591342150683
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D4,474.44483482272
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S2D5,423.5221550565305
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D1,302.53014983232003
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D2,257.19026866756894
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D3,304.36723883088
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D4,311.6597355461616
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S3D5,302.53722524928
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D1,302.16660156288003
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D2,346.28221420128006
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D3,302.21782485696
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D4,302.19150428064
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2025,S4D5,302.20379480592004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D1,183.1673685470212
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D2,344.55614106680946
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D3,298.52158364352
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D4,298.52689714416
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S1D5,298.52309074896004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D1,297.75761205984
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D2,258.5359779131434
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D3,417.999289250742
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D4,474.60587529888
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S2D5,420.450342998371
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D1,321.91184709207954
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D2,288.3729959708716
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D3,297.14496564818035
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D4,350.65911175783674
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S3D5,303.01161215184004
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D1,228.37776157436687
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D2,213.25409773366653
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D3,274.4658385073509
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D4,281.68815361859754
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2026,S4D5,214.5925235475126
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D1,188.7110682045792
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D2,245.31841857709944
GLOBAL,DSPTRNBGDXX,ELCBGDXX02,1,2027,S1D3,298.67884453008
