REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,97326.43442826021
GLOBAL,MINCOAINT,2024,102043.44688696353
GLOBAL,MINCOAINT,2025,102927.77328664451
GLOBAL,MINCOAINT,2026,105137.58746658685
GLOBAL,MINCOAINT,2027,110044.40652074781
GLOBAL,MINCOAINT,2028,116794.470851079
GLOBAL,MINCOAINT,2029,123570.55725545765
GLOBAL,MINCOAINT,2030,127104.87036675161
GLOBAL,MINCOAINT,2031,131912.23794750363
GLOBAL,MINCOAINT,2032,137897.9623739609
GLOBAL,MINCOAINT,2033,144711.4744858872
GLOBAL,MINCOAINT,2034,151202.584197168
GLOBAL,MINCOAINT,2035,158149.21946765558
GLOBAL,MINCOAINT,2036,164787.82851821426
GLOBAL,MINCOAINT,2037,172491.07734383843
GLOBAL,MINCOAINT,2038,179586.16105450882
GLOBAL,MINCOAINT,2039,187040.03728838294
GLOBAL,MINCOAINT,2040,195323.78320581585
GLOBAL,MINCOAINT,2041,203586.77265608104
GLOBAL,MINCOAINT,2042,212601.3931422246
GLOBAL,MINCOAINT,2043,221899.10417771095
GLOBAL,MINCOAINT,2044,231913.5306405569
GLOBAL,MINCOAINT,2045,242457.77208712298
GLOBAL,MINCOAINT,2046,253362.72476692614
GLOBAL,MINCOAINT,2047,264720.29350404174
GLOBAL,MINCOAINT,2048,276586.1984831113
GLOBAL,MINCOAINT,2049,290339.9505849336
GLOBAL,MINCOAINT,2050,306280.2882441569
GLOBAL,MINGASINT,2023,613.9015260320041
GLOBAL,MINGASINT,2024,613.3078433998821
GLOBAL,MINGASINT,2025,383.68305668201475
GLOBAL,MINGASINT,2026,462.51065255872624
GLOBAL,MINGASINT,2027,493.1594166516289
GLOBAL,MINGASINT,2028,506.8891329983421
GLOBAL,MINGASINT,2029,782.3583364780541
GLOBAL,MINGASINT,2030,1597.94175891409
GLOBAL,MINGASINT,2031,3253.429148186413
GLOBAL,MINGASINT,2032,4691.0798273638175
GLOBAL,MINGASINT,2033,6216.657552892324
GLOBAL,MINGASINT,2034,7738.332269105973
GLOBAL,MINGASINT,2035,6557.376656404325
GLOBAL,MINGASINT,2036,8273.652197464473
GLOBAL,MINGASINT,2037,9678.420086666212
GLOBAL,MINGASINT,2038,11733.579092344251
GLOBAL,MINGASINT,2039,13291.872826447141
GLOBAL,MINGASINT,2040,14325.32184798203
GLOBAL,MINGASINT,2041,15254.113989854097
GLOBAL,MINGASINT,2042,16148.187598937939
GLOBAL,MINGASINT,2043,17019.930380072605
GLOBAL,MINGASINT,2044,17970.003874037015
GLOBAL,MINGASINT,2045,18930.991139293837
GLOBAL,MINGASINT,2046,19890.54384076113
GLOBAL,MINGASINT,2047,20889.356355906857
GLOBAL,MINGASINT,2048,21974.601689881954
GLOBAL,MINGASINT,2049,23315.806406384745
GLOBAL,MINGASINT,2050,25121.433544490155
GLOBAL,MINOILINT,2023,22.918456994262606
GLOBAL,MINOILINT,2024,62.78684469106339
GLOBAL,MINOILINT,2025,32.29086024384979
GLOBAL,MINOILINT,2026,3.381105109279995
GLOBAL,MINOILINT,2027,8.34006277050118
GLOBAL,MINOILINT,2028,14.07645782194632
GLOBAL,MINOILINT,2029,29.63858446488405
GLOBAL,MINOILINT,2030,7.492128892534821
GLOBAL,MINOILINT,2031,6.393169412224244
GLOBAL,MINOILINT,2032,10.141866346195563
GLOBAL,MINOILINT,2033,15.682420449011046
GLOBAL,MINOILINT,2034,16.355240692655613
GLOBAL,MINOILINT,2035,9.278395136106665
GLOBAL,MINOILINT,2036,9.456169288881132
GLOBAL,MINOILINT,2037,54.84158653067551
GLOBAL,MINOILINT,2038,216.20104342975154
GLOBAL,MINOILINT,2039,513.1746025632444
GLOBAL,MINOILINT,2040,574.2658854758631
GLOBAL,MINOILINT,2041,597.0016029665131
GLOBAL,MINOILINT,2042,596.7169813813155
GLOBAL,MINOILINT,2043,611.3836895289561
GLOBAL,MINOILINT,2044,591.1650423036365
GLOBAL,MINOILINT,2045,558.4262130029958
GLOBAL,MINOILINT,2046,532.0575438829763
GLOBAL,MINOILINT,2047,511.5963203604665
GLOBAL,MINOILINT,2048,490.1228510860809
GLOBAL,MINOILINT,2049,464.67877210641205
GLOBAL,MINOILINT,2050,464.07545439383466
GLOBAL,MINPETINT,2037,17.7827469567984
GLOBAL,MINPETINT,2038,35.5654939135968
GLOBAL,MINPETINT,2039,83.49175656387972
GLOBAL,MINPETINT,2040,79.99618523077781
GLOBAL,MINPETINT,2041,78.33520460272777
GLOBAL,MINPETINT,2042,83.03279711134408
GLOBAL,MINPETINT,2043,63.495911539021996
GLOBAL,MINPETINT,2044,63.495911539021996
GLOBAL,MINPETINT,2045,63.495911539021996
GLOBAL,MINPETINT,2046,63.495911539021996
GLOBAL,MINPETINT,2047,63.495911539021996
GLOBAL,MINPETINT,2048,63.495911539021996
GLOBAL,MINPETINT,2049,63.495911539021996
GLOBAL,MINPETINT,2050,63.495911539021996
GLOBAL,MINURNINT,2023,1225.4000825392634
GLOBAL,MINURNINT,2024,1503.900101298187
GLOBAL,MINURNINT,2025,2372.820159826028
GLOBAL,MINURNINT,2026,2488.6434029216516
GLOBAL,MINURNINT,2027,2508.0564924645514
GLOBAL,MINURNINT,2028,2528.468905604177
GLOBAL,MINURNINT,2029,2845.8606328650817
GLOBAL,MINURNINT,2030,2922.464520377832
GLOBAL,MINURNINT,2031,2997.3810254239816
GLOBAL,MINURNINT,2032,3093.4471495417647
GLOBAL,MINURNINT,2033,3189.513273659549
GLOBAL,MINURNINT,2034,3285.579397777333
GLOBAL,MINURNINT,2035,3381.645521895118
GLOBAL,MINURNINT,2036,3477.7116460129
GLOBAL,MINURNINT,2037,3581.9034177368267
GLOBAL,MINURNINT,2038,3686.095189460756
GLOBAL,MINURNINT,2039,3790.286961184681
GLOBAL,MINURNINT,2040,3892.365409236849
GLOBAL,MINURNINT,2041,3996.475269190552
GLOBAL,MINURNINT,2042,4113.215924112676
GLOBAL,MINURNINT,2043,4234.576402875386
GLOBAL,MINURNINT,2044,4360.409264292286
GLOBAL,MINURNINT,2045,4490.648978947194
GLOBAL,MINURNINT,2046,4626.933782244577
GLOBAL,MINURNINT,2047,4768.591997668602
GLOBAL,MINURNINT,2048,4915.852978175893
GLOBAL,MINURNINT,2049,5068.929694369033
GLOBAL,MINURNINT,2050,5228.035116850601
GLOBAL,PWRLDSINDEA,2032,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2033,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2034,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2035,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2036,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2037,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2038,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2039,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2040,7.889077859631142e-05
GLOBAL,PWRLDSINDEA,2041,7.889077859631142e-05
