REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,17.031176288391222
GLOBAL,MINCOAINT,2024,17.950416510434675
GLOBAL,MINCOAINT,2025,18.878105713615398
GLOBAL,MINCOAINT,2026,20.012529130798285
GLOBAL,MINCOAINT,2027,21.300622015841487
GLOBAL,MINCOAINT,2028,22.62839872008315
GLOBAL,MINCOAINT,2029,23.625885227616006
GLOBAL,MINCOAINT,2030,23.851326252384013
GLOBAL,MINCOAINT,2031,23.85641855952
GLOBAL,MINCOAINT,2032,24.207408184608006
GLOBAL,MINCOAINT,2033,24.558397809696007
GLOBAL,MINCOAINT,2034,25.22691998136
GLOBAL,MINCOAINT,2035,26.948646720515427
GLOBAL,MINCOAINT,2036,27.61716889217944
GLOBAL,MINCOAINT,2037,28.358289458723437
GLOBAL,MINCOAINT,2038,29.099410025267435
GLOBAL,MINCOAINT,2039,29.99598667947192
GLOBAL,MINCOAINT,2040,31.17480347749565
GLOBAL,MINCOAINT,2041,32.37970409951202
GLOBAL,MINCOAINT,2042,33.745601127139466
GLOBAL,MINCOAINT,2043,35.16480877211786
GLOBAL,MINCOAINT,2044,36.67838360146522
GLOBAL,MINCOAINT,2045,38.277101945146526
GLOBAL,MINCOAINT,2046,39.934728481490446
GLOBAL,MINCOAINT,2047,41.65687455370086
GLOBAL,MINCOAINT,2048,43.44948549786342
GLOBAL,MINCOAINT,2049,45.415745079423175
GLOBAL,MINCOAINT,2050,47.442762746911455
GLOBAL,MINGASINT,2023,0.6868357638912
GLOBAL,MINGASINT,2024,0.7339372081632001
GLOBAL,MINGASINT,2025,0.5674290203232
GLOBAL,MINGASINT,2026,0.5918195264416508
GLOBAL,MINGASINT,2027,0.6055443129312
GLOBAL,MINGASINT,2028,0.6317164865116806
GLOBAL,MINGASINT,2029,0.9207897485034596
GLOBAL,MINGASINT,2030,1.6248090370061443
GLOBAL,MINGASINT,2031,2.5546623955181103
GLOBAL,MINGASINT,2032,3.4123632787288387
GLOBAL,MINGASINT,2033,4.310159494140329
GLOBAL,MINGASINT,2034,4.950344897035339
GLOBAL,MINGASINT,2035,4.659746284759648
GLOBAL,MINGASINT,2036,5.3222371949712635
GLOBAL,MINGASINT,2037,5.89246602234624
GLOBAL,MINGASINT,2038,6.229608085019253
GLOBAL,MINGASINT,2039,6.5591087024099215
GLOBAL,MINGASINT,2040,6.88518272792075
GLOBAL,MINGASINT,2041,7.203944569089323
GLOBAL,MINGASINT,2042,7.521824599254376
GLOBAL,MINGASINT,2043,7.8528119418175315
GLOBAL,MINGASINT,2044,8.21331373436791
GLOBAL,MINGASINT,2045,8.580692597232561
GLOBAL,MINGASINT,2046,8.954573083653425
GLOBAL,MINGASINT,2047,9.34298564045619
GLOBAL,MINGASINT,2048,9.747784428755427
GLOBAL,MINGASINT,2049,10.169687865672191
GLOBAL,MINGASINT,2050,10.608496557208293
GLOBAL,MINOILINT,2023,0.0133239720218386
GLOBAL,MINOILINT,2024,0.0283880578071764
GLOBAL,MINOILINT,2025,0.0180617656204687
GLOBAL,MINOILINT,2026,0.0017400779442671
GLOBAL,MINOILINT,2027,0.0030460023403441
GLOBAL,MINOILINT,2028,0.0041346080445063
GLOBAL,MINOILINT,2029,0.0254117436322515
GLOBAL,MINOILINT,2030,0.0203284576513031
GLOBAL,MINOILINT,2031,0.0173466414577441
GLOBAL,MINOILINT,2032,0.0275180130348852
GLOBAL,MINOILINT,2033,0.0425512460530817
GLOBAL,MINOILINT,2034,0.0443768149969764
GLOBAL,MINOILINT,2035,0.0251751491868137
GLOBAL,MINOILINT,2036,0.0256575053219001
GLOBAL,MINOILINT,2037,0.1488021476018585
GLOBAL,MINOILINT,2038,0.5350388832900635
GLOBAL,MINOILINT,2039,0.7855155564007111
GLOBAL,MINOILINT,2040,0.8333756889857163
GLOBAL,MINOILINT,2041,0.8712934799482257
GLOBAL,MINOILINT,2042,0.8932264893269815
GLOBAL,MINOILINT,2043,0.9084499038780744
GLOBAL,MINOILINT,2044,0.9160671920099996
GLOBAL,MINOILINT,2045,0.9170358606484335
GLOBAL,MINOILINT,2046,0.9170358606484322
GLOBAL,MINOILINT,2047,0.9170358606484332
GLOBAL,MINOILINT,2048,0.9170358606484332
GLOBAL,MINOILINT,2049,0.9170358606484322
GLOBAL,MINOILINT,2050,0.9170358606484332
GLOBAL,MINPETINT,2037,0.04825008
GLOBAL,MINPETINT,2038,0.09650016
GLOBAL,MINPETINT,2039,0.14475024
GLOBAL,MINPETINT,2040,0.1722840019527736
GLOBAL,MINPETINT,2041,0.1722840019527736
GLOBAL,MINPETINT,2042,0.1722840019527736
GLOBAL,MINPETINT,2043,0.1722840019527736
GLOBAL,MINPETINT,2044,0.1722840019527736
GLOBAL,MINPETINT,2045,0.1722840019527736
GLOBAL,MINPETINT,2046,0.1722840019527736
GLOBAL,MINPETINT,2047,0.1722840019527736
GLOBAL,MINPETINT,2048,0.1722840019527736
GLOBAL,MINPETINT,2049,0.1722840019527736
GLOBAL,MINPETINT,2050,0.1722840019527736
GLOBAL,MINURNINT,2023,0.5236742016000001
GLOBAL,MINURNINT,2024,0.6426910656000027
GLOBAL,MINURNINT,2025,1.01402368128
GLOBAL,MINURNINT,2026,1.06352069472
GLOBAL,MINURNINT,2027,1.0718168702400066
GLOBAL,MINURNINT,2028,1.0805401062719988
GLOBAL,MINURNINT,2029,1.21617732528
GLOBAL,MINURNINT,2030,1.2489139638720004
GLOBAL,MINURNINT,2031,1.280929500288
GLOBAL,MINURNINT,2032,1.321983317376
GLOBAL,MINURNINT,2033,1.3630371344640002
GLOBAL,MINURNINT,2034,1.4040909515520004
GLOBAL,MINURNINT,2035,1.4451447686400003
GLOBAL,MINURNINT,2036,1.4861985857280005
GLOBAL,MINURNINT,2037,1.5307248948480006
GLOBAL,MINURNINT,2038,1.5752512039680004
GLOBAL,MINURNINT,2039,1.6197775130880008
GLOBAL,MINURNINT,2040,1.66340069424
GLOBAL,MINURNINT,2041,1.7078919984
GLOBAL,MINURNINT,2042,1.7577810673920005
GLOBAL,MINURNINT,2043,1.809644416128
GLOBAL,MINURNINT,2044,1.863419035680001
GLOBAL,MINURNINT,2045,1.919076922080001
GLOBAL,MINURNINT,2046,1.9773181745280004
GLOBAL,MINURNINT,2047,2.0378557523520007
GLOBAL,MINURNINT,2048,2.1007876694400003
GLOBAL,MINURNINT,2049,2.166204938688
GLOBAL,MINURNINT,2050,2.2341985729920006
GLOBAL,PWRBIOBGDXX,2024,0.21384
GLOBAL,PWRBIOBGDXX,2025,0.21384
GLOBAL,PWRBIOBGDXX,2026,0.21384
GLOBAL,PWRBIOBGDXX,2027,0.21384
GLOBAL,PWRBIOBGDXX,2028,0.21384
GLOBAL,PWRBIOBGDXX,2029,0.21384
GLOBAL,PWRBIOBGDXX,2030,0.21384
GLOBAL,PWRBIOBGDXX,2031,0.21384
GLOBAL,PWRBIOBGDXX,2032,0.21384
GLOBAL,PWRBIOBGDXX,2033,0.21384
GLOBAL,PWRBIOBGDXX,2034,0.21384
GLOBAL,PWRBIOBGDXX,2035,0.21384
GLOBAL,PWRBIOBGDXX,2036,0.21384
GLOBAL,PWRBIOBGDXX,2037,0.21384
GLOBAL,PWRBIOBGDXX,2038,0.21384
GLOBAL,PWRBIOBGDXX,2039,0.21384
GLOBAL,PWRBIOBGDXX,2040,0.21384
GLOBAL,PWRBIOBGDXX,2041,0.21384
GLOBAL,PWRBIOBGDXX,2042,0.21384
GLOBAL,PWRBIOBGDXX,2043,0.21384
GLOBAL,PWRBIOBGDXX,2044,0.21384
GLOBAL,PWRBIOBGDXX,2045,0.21384
GLOBAL,PWRBIOBGDXX,2046,0.21384
GLOBAL,PWRBIOBGDXX,2047,0.42768
GLOBAL,PWRBIOBGDXX,2048,0.42768
GLOBAL,PWRBIOBGDXX,2049,0.42768
GLOBAL,PWRBIOBGDXX,2050,0.42768
GLOBAL,PWRBIOINDEA,2024,60.7662
GLOBAL,PWRBIOINDEA,2025,68.9634
GLOBAL,PWRBIOINDEA,2026,70.5672
GLOBAL,PWRBIOINDEA,2027,75.37859999999998
GLOBAL,PWRBIOINDEA,2028,78.22979999999998
GLOBAL,PWRBIOINDEA,2029,94.2678
GLOBAL,PWRBIOINDEA,2030,65.934
GLOBAL,PWRBIOINDEA,2031,63.9738
GLOBAL,PWRBIOINDEA,2032,87.85259999999998
GLOBAL,PWRBIOINDEA,2033,87.85259999999998
GLOBAL,PWRBIOINDEA,2034,87.85259999999998
GLOBAL,PWRBIOINDEA,2035,87.85259999999998
GLOBAL,PWRBIOINDEA,2036,87.85259999999998
GLOBAL,PWRBIOINDEA,2037,99.2574
GLOBAL,PWRBIOINDEA,2038,99.2574
GLOBAL,PWRBIOINDEA,2039,99.2574
GLOBAL,PWRBIOINDEA,2040,99.2574
GLOBAL,PWRBIOINDEA,2041,99.2574
GLOBAL,PWRBIOINDEA,2042,113.157
GLOBAL,PWRBIOINDEA,2043,118.3248
GLOBAL,PWRBIOINDEA,2044,123.84900000000002
GLOBAL,PWRBIOINDEA,2045,129.3732
GLOBAL,PWRBIOINDEA,2046,135.25379999999998
GLOBAL,PWRBIOINDEA,2047,141.4908
GLOBAL,PWRBIOINDEA,2048,147.906
GLOBAL,PWRBIOINDEA,2049,154.6776
GLOBAL,PWRBIOINDEA,2050,161.6274
GLOBAL,PWRBIOINDNE,2024,1.6038
GLOBAL,PWRBIOINDNE,2025,1.782
GLOBAL,PWRBIOINDNE,2026,1.9602
GLOBAL,PWRBIOINDNE,2027,1.9602
GLOBAL,PWRBIOINDNE,2028,1.9602
GLOBAL,PWRBIOINDNE,2029,2.3166
GLOBAL,PWRBIOINDNE,2030,2.1384
GLOBAL,PWRBIOINDNE,2031,2.1384
GLOBAL,PWRBIOINDNE,2032,2.4948
GLOBAL,PWRBIOINDNE,2033,2.4948
GLOBAL,PWRBIOINDNE,2034,2.4948
GLOBAL,PWRBIOINDNE,2035,2.4948
GLOBAL,PWRBIOINDNE,2036,2.4948
GLOBAL,PWRBIOINDNE,2037,2.8512
GLOBAL,PWRBIOINDNE,2038,2.8512
GLOBAL,PWRBIOINDNE,2039,2.8512
GLOBAL,PWRBIOINDNE,2040,2.8512
GLOBAL,PWRBIOINDNE,2041,2.8512
GLOBAL,PWRBIOINDNE,2042,3.3858
GLOBAL,PWRBIOINDNE,2043,3.564
GLOBAL,PWRBIOINDNE,2044,3.564
GLOBAL,PWRBIOINDNE,2045,3.7422
GLOBAL,PWRBIOINDNE,2046,3.9204
GLOBAL,PWRBIOINDNE,2047,4.0986
GLOBAL,PWRBIOINDNE,2048,4.455
GLOBAL,PWRBIOINDNE,2049,4.6332
GLOBAL,PWRBIOINDNE,2050,4.8114
GLOBAL,PWRBIOINDNO,2024,336.9762
GLOBAL,PWRBIOINDNO,2025,356.2218
GLOBAL,PWRBIOINDNO,2026,382.5954
GLOBAL,PWRBIOINDNO,2027,406.1178
GLOBAL,PWRBIOINDNO,2028,426.9672
GLOBAL,PWRBIOINDNO,2029,499.1382
GLOBAL,PWRBIOINDNO,2030,379.7442
GLOBAL,PWRBIOINDNO,2031,382.9518
GLOBAL,PWRBIOINDNO,2032,450.3114
GLOBAL,PWRBIOINDNO,2033,450.3114
GLOBAL,PWRBIOINDNO,2034,450.3114
GLOBAL,PWRBIOINDNO,2035,450.3114
GLOBAL,PWRBIOINDNO,2036,450.3114
GLOBAL,PWRBIOINDNO,2037,489.6936
GLOBAL,PWRBIOINDNO,2038,489.6936
GLOBAL,PWRBIOINDNO,2039,489.6936
GLOBAL,PWRBIOINDNO,2040,467.775
GLOBAL,PWRBIOINDNO,2041,488.8026
GLOBAL,PWRBIOINDNO,2042,549.2124
GLOBAL,PWRBIOINDNO,2043,571.8438
GLOBAL,PWRBIOINDNO,2044,587.7036
GLOBAL,PWRBIOINDNO,2045,599.8212
GLOBAL,PWRBIOINDNO,2046,642.7674000000001
GLOBAL,PWRBIOINDNO,2047,668.7846000000001
GLOBAL,PWRBIOINDNO,2048,695.6928
GLOBAL,PWRBIOINDNO,2049,723.8483999999999
GLOBAL,PWRBIOINDNO,2050,753.0731999999998
GLOBAL,PWRBIOINDSO,2024,382.5954
GLOBAL,PWRBIOINDSO,2025,406.296
GLOBAL,PWRBIOINDSO,2026,447.282
GLOBAL,PWRBIOINDSO,2027,452.628
GLOBAL,PWRBIOINDSO,2028,471.339
GLOBAL,PWRBIOINDSO,2029,546.0048
GLOBAL,PWRBIOINDSO,2030,422.6904
GLOBAL,PWRBIOINDSO,2031,411.9984
GLOBAL,PWRBIOINDSO,2032,494.8614
GLOBAL,PWRBIOINDSO,2033,494.8614
GLOBAL,PWRBIOINDSO,2034,494.8614
GLOBAL,PWRBIOINDSO,2035,494.8614
GLOBAL,PWRBIOINDSO,2036,494.8614
GLOBAL,PWRBIOINDSO,2037,529.0758
GLOBAL,PWRBIOINDSO,2038,529.0758
GLOBAL,PWRBIOINDSO,2039,529.0758
GLOBAL,PWRBIOINDSO,2040,516.6018
GLOBAL,PWRBIOINDSO,2041,528.7194000000001
GLOBAL,PWRBIOINDSO,2042,591.8022
GLOBAL,PWRBIOINDSO,2043,614.79
GLOBAL,PWRBIOINDSO,2044,638.6688
GLOBAL,PWRBIOINDSO,2045,663.4386000000001
GLOBAL,PWRBIOINDSO,2046,689.2776
GLOBAL,PWRBIOINDSO,2047,716.0076
GLOBAL,PWRBIOINDSO,2048,743.8067999999998
GLOBAL,PWRBIOINDSO,2049,772.6752
GLOBAL,PWRBIOINDSO,2050,802.791
GLOBAL,PWRBIOINDWE,2024,333.05580000000003
GLOBAL,PWRBIOINDWE,2025,364.419
GLOBAL,PWRBIOINDWE,2026,410.9292
GLOBAL,PWRBIOINDWE,2027,396.3168
GLOBAL,PWRBIOINDWE,2028,410.5728
GLOBAL,PWRBIOINDWE,2029,506.8008
GLOBAL,PWRBIOINDWE,2030,289.2186
GLOBAL,PWRBIOINDWE,2031,276.9228
GLOBAL,PWRBIOINDWE,2032,418.0572
GLOBAL,PWRBIOINDWE,2033,418.0572
GLOBAL,PWRBIOINDWE,2034,418.0572
GLOBAL,PWRBIOINDWE,2035,418.0572
GLOBAL,PWRBIOINDWE,2036,418.0572
GLOBAL,PWRBIOINDWE,2037,461.1816
GLOBAL,PWRBIOINDWE,2038,461.1816
GLOBAL,PWRBIOINDWE,2039,461.1816
GLOBAL,PWRBIOINDWE,2040,461.1816
GLOBAL,PWRBIOINDWE,2041,461.1816
GLOBAL,PWRBIOINDWE,2042,517.671
GLOBAL,PWRBIOINDWE,2043,538.164
GLOBAL,PWRBIOINDWE,2044,559.548
GLOBAL,PWRBIOINDWE,2045,581.823
GLOBAL,PWRBIOINDWE,2046,604.989
GLOBAL,PWRBIOINDWE,2047,629.046
GLOBAL,PWRBIOINDWE,2048,653.994
GLOBAL,PWRBIOINDWE,2049,680.0112
GLOBAL,PWRBIOINDWE,2050,707.0976
GLOBAL,PWRBIOLKAXX,2024,9.732345
GLOBAL,PWRBIOLKAXX,2025,28.084767
GLOBAL,PWRBIOLKAXX,2026,42.266184
GLOBAL,PWRBIOLKAXX,2027,56.169534
GLOBAL,PWRBIOLKAXX,2028,56.169534
GLOBAL,PWRBIOLKAXX,2029,56.169534
