REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,16.976667294072872
GLOBAL,MINCOAINT,2024,16.26879376120695
GLOBAL,MINCOAINT,2025,15.554653449182906
GLOBAL,MINCOAINT,2026,14.994064915696153
GLOBAL,MINCOAINT,2027,14.496332352119259
GLOBAL,MINCOAINT,2028,13.98808305806914
GLOBAL,MINCOAINT,2029,13.324953087226456
GLOBAL,MINCOAINT,2030,12.226615469305415
GLOBAL,MINCOAINT,2031,11.11510497209583
GLOBAL,MINCOAINT,2032,10.253494747796754
GLOBAL,MINCOAINT,2033,9.579099560631809
GLOBAL,MINCOAINT,2034,8.942585270683384
GLOBAL,MINCOAINT,2035,8.664647235637663
GLOBAL,MINCOAINT,2036,7.998585954746384
GLOBAL,MINCOAINT,2037,7.46660198542223
GLOBAL,MINCOAINT,2038,6.965238358002081
GLOBAL,MINCOAINT,2039,6.517594972757816
GLOBAL,MINCOAINT,2040,6.131988653125774
GLOBAL,MINCOAINT,2041,5.805555393639165
GLOBAL,MINCOAINT,2042,5.512380263420575
GLOBAL,MINCOAINT,2043,5.219831428119396
GLOBAL,MINCOAINT,2044,4.945821947967489
GLOBAL,MINCOAINT,2045,4.686820626059424
GLOBAL,MINCOAINT,2046,4.442075528458908
GLOBAL,MINCOAINT,2047,4.215733472374661
GLOBAL,MINCOAINT,2048,4.001399070172167
GLOBAL,MINCOAINT,2049,3.8019440587777993
GLOBAL,MINCOAINT,2050,3.6205079924098005
GLOBAL,MINGASINT,2023,0.6868357638912
GLOBAL,MINGASINT,2024,0.6672156437847273
GLOBAL,MINGASINT,2025,0.46894960357289245
GLOBAL,MINGASINT,2026,0.4435353494970855
GLOBAL,MINGASINT,2027,0.41994565696834907
GLOBAL,MINGASINT,2028,0.398019639709061
GLOBAL,MINGASINT,2029,0.4970899487322813
GLOBAL,MINGASINT,2030,0.806055524566963
GLOBAL,MINGASINT,2031,1.1602908320285548
GLOBAL,MINGASINT,2032,1.400888163351236
GLOBAL,MINGASINT,2033,1.463112402700014
GLOBAL,MINGASINT,2034,1.5034581319338107
GLOBAL,MINGASINT,2035,1.3942968191118221
GLOBAL,MINGASINT,2036,1.4741863940055282
GLOBAL,MINGASINT,2037,1.4549185522461876
GLOBAL,MINGASINT,2038,1.4673317644692503
GLOBAL,MINGASINT,2039,1.4659909503850694
GLOBAL,MINGASINT,2040,1.3975033501128586
GLOBAL,MINGASINT,2041,1.3276084386599816
GLOBAL,MINGASINT,2042,1.2587342306107216
GLOBAL,MINGASINT,2043,1.1933461766033673
GLOBAL,MINGASINT,2044,1.1334227786727582
GLOBAL,MINGASINT,2045,1.0768455315137297
GLOBAL,MINGASINT,2046,1.0201944460196442
GLOBAL,MINGASINT,2047,0.9664075974196898
GLOBAL,MINGASINT,2048,0.91545298788238
GLOBAL,MINGASINT,2049,0.8671551921836664
GLOBAL,MINGASINT,2050,0.8141572522528107
GLOBAL,MINOILINT,2023,0.0150030721169672
GLOBAL,MINOILINT,2024,0.02771536629143918
GLOBAL,MINOILINT,2025,0.016572662370299338
GLOBAL,MINOILINT,2026,0.0013179642810422986
GLOBAL,MINOILINT,2027,0.002090113280612253
GLOBAL,MINOILINT,2028,0.0025760414764929114
GLOBAL,MINOILINT,2029,0.0060208828242475955
GLOBAL,MINOILINT,2030,0.01060963967789526
GLOBAL,MINOILINT,2031,0.008254087719180615
GLOBAL,MINOILINT,2032,0.011817370569793432
GLOBAL,MINOILINT,2033,0.02546289586118363
GLOBAL,MINOILINT,2034,0.03902292778760898
GLOBAL,MINOILINT,2035,0.0019331401248476668
GLOBAL,MINOILINT,2036,0.0017574001134978787
GLOBAL,MINOILINT,2037,0.035977712925067455
GLOBAL,MINOILINT,2038,0.04320059062261651
GLOBAL,MINOILINT,2039,0.04881288135924701
GLOBAL,MINOILINT,2040,0.04437534669022455
GLOBAL,MINOILINT,2041,0.04034122426384049
GLOBAL,MINOILINT,2042,0.04275144265921772
GLOBAL,MINOILINT,2043,0.056673151204339994
GLOBAL,MINOILINT,2044,0.06581005439981061
GLOBAL,MINOILINT,2045,0.06255289684489829
GLOBAL,MINOILINT,2046,0.05931847520395167
GLOBAL,MINOILINT,2047,0.056280005543825
GLOBAL,MINOILINT,2048,0.04984796474412645
GLOBAL,MINOILINT,2049,0.04292933435785156
GLOBAL,MINOILINT,2050,0.03508918576226594
GLOBAL,MINPETINT,2032,0.02046274401428185
GLOBAL,MINPETINT,2033,0.07199507307772127
GLOBAL,MINPETINT,2034,0.10158875080911478
GLOBAL,MINPETINT,2036,0.05590531798178224
GLOBAL,MINPETINT,2037,0.09964047729043374
GLOBAL,MINPETINT,2038,0.11769828923316628
GLOBAL,MINPETINT,2039,0.10046480840402211
GLOBAL,MINPETINT,2040,0.13147590186357602
GLOBAL,MINPETINT,2041,0.10761216914027825
GLOBAL,MINPETINT,2042,0.08427579775514914
GLOBAL,MINPETINT,2043,0.06359817252076651
GLOBAL,MINPETINT,2044,0.0479302594384194
GLOBAL,MINPETINT,2045,0.046048994198468494
GLOBAL,MINPETINT,2046,0.044236840062390856
GLOBAL,MINPETINT,2047,0.035661373683950344
GLOBAL,MINPETINT,2048,0.031161187898605985
GLOBAL,MINPETINT,2049,0.03250600391558487
GLOBAL,MINPETINT,2050,0.03383471956208858
GLOBAL,MINURNINT,2023,0.5236742016
GLOBAL,MINURNINT,2024,0.5842646050909092
GLOBAL,MINURNINT,2025,0.8380361002314044
GLOBAL,MINURNINT,2026,0.7990388390082643
GLOBAL,MINURNINT,2027,0.7320653440611977
GLOBAL,MINURNINT,2028,0.67928979881404
GLOBAL,MINURNINT,2029,0.6940998548150471
GLOBAL,MINURNINT,2030,0.6477989398707484
GLOBAL,MINURNINT,2031,0.6038436111746632
GLOBAL,MINURNINT,2032,0.5663595634836324
GLOBAL,MINURNINT,2033,0.5307003541234117
GLOBAL,MINURNINT,2034,0.4968439798246887
GLOBAL,MINURNINT,2035,0.4647573566040523
GLOBAL,MINURNINT,2036,0.4343985162844846
GLOBAL,MINURNINT,2037,0.40663291090699405
GLOBAL,MINURNINT,2038,0.3803255270338035
GLOBAL,MINURNINT,2039,0.3554407012953501
GLOBAL,MINURNINT,2040,0.33175852409988815
GLOBAL,MINURNINT,2041,0.309600810400326
GLOBAL,MINURNINT,2042,0.289612543617204
GLOBAL,MINURNINT,2043,0.2709932868786949
GLOBAL,MINURNINT,2044,0.25362412856774746
GLOBAL,MINURNINT,2045,0.237404736848904
GLOBAL,MINURNINT,2046,0.2223267638254805
GLOBAL,MINURNINT,2047,0.20826135363108242
GLOBAL,MINURNINT,2048,0.19513686740581715
GLOBAL,MINURNINT,2049,0.18288601779007194
GLOBAL,MINURNINT,2050,0.171446413154424
GLOBAL,PWRBIOBGDXX,2024,0.1944
GLOBAL,PWRBIOBGDXX,2025,0.1767272727272727
GLOBAL,PWRBIOBGDXX,2026,0.16066115702479333
GLOBAL,PWRBIOBGDXX,2027,0.14605559729526668
GLOBAL,PWRBIOBGDXX,2028,0.1327778157229697
GLOBAL,PWRBIOBGDXX,2029,0.12070710520269971
GLOBAL,PWRBIOBGDXX,2030,0.10973373200245426
GLOBAL,PWRBIOBGDXX,2031,0.09975793818404932
GLOBAL,PWRBIOBGDXX,2032,0.0906890347127721
GLOBAL,PWRBIOBGDXX,2033,0.082444577011611
GLOBAL,PWRBIOBGDXX,2034,0.07494961546510091
GLOBAL,PWRBIOBGDXX,2035,0.06813601405918264
GLOBAL,PWRBIOBGDXX,2036,0.061941830962893296
GLOBAL,PWRBIOBGDXX,2037,0.056310755420812084
GLOBAL,PWRBIOBGDXX,2038,0.051191595837101894
GLOBAL,PWRBIOBGDXX,2039,0.04653781439736535
GLOBAL,PWRBIOBGDXX,2040,0.04230710399760486
GLOBAL,PWRBIOBGDXX,2041,0.03846100363418624
GLOBAL,PWRBIOBGDXX,2042,0.03496454875835112
GLOBAL,PWRBIOBGDXX,2043,0.03178595341668283
GLOBAL,PWRBIOBGDXX,2044,0.028896321287893482
GLOBAL,PWRBIOBGDXX,2045,0.026269382988994075
GLOBAL,PWRBIOBGDXX,2046,0.023881257262721882
GLOBAL,PWRBIOBGDXX,2047,0.043420467750403424
GLOBAL,PWRBIOBGDXX,2048,0.03947315250036674
GLOBAL,PWRBIOBGDXX,2049,0.03588468409124249
GLOBAL,PWRBIOBGDXX,2050,0.032622440082947714
