REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,92361.53255922778
GLOBAL,MINCOAINT,2024,88048.8388880841
GLOBAL,MINCOAINT,2025,80727.8345066574
GLOBAL,MINCOAINT,2026,74967.05389499129
GLOBAL,MINCOAINT,2027,71305.90637829537
GLOBAL,MINCOAINT,2028,68732.59686688229
GLOBAL,MINCOAINT,2029,66141.02296083086
GLOBAL,MINCOAINT,2030,61868.769330617564
GLOBAL,MINCOAINT,2031,58372.3167210999
GLOBAL,MINCOAINT,2032,55463.76084524824
GLOBAL,MINCOAINT,2033,53009.73963882172
GLOBAL,MINCOAINT,2034,50469.04514520589
GLOBAL,MINCOAINT,2035,47943.401681494805
GLOBAL,MINCOAINT,2036,45366.910315984285
GLOBAL,MINCOAINT,2037,43161.2050825538
GLOBAL,MINCOAINT,2038,40845.374476830155
GLOBAL,MINCOAINT,2039,38658.05678750978
GLOBAL,MINCOAINT,2040,36663.49383078873
GLOBAL,MINCOAINT,2041,34771.046623457136
GLOBAL,MINCOAINT,2042,33035.77359082969
GLOBAL,MINCOAINT,2043,31342.976331800146
GLOBAL,MINCOAINT,2044,29774.50256725726
GLOBAL,MINCOAINT,2045,28324.38654883782
GLOBAL,MINCOAINT,2046,26905.189985146284
GLOBAL,MINCOAINT,2047,25565.451301259243
GLOBAL,MINCOAINT,2048,24290.869972033644
GLOBAL,MINCOAINT,2049,23179.129488603576
GLOBAL,MINCOAINT,2050,22244.518162342116
GLOBAL,MINGASINT,2023,571.6969689931232
GLOBAL,MINGASINT,2024,519.8572989760704
GLOBAL,MINGASINT,2025,293.67826013103354
GLOBAL,MINGASINT,2026,323.93119924755825
GLOBAL,MINGASINT,2027,320.80363308153755
GLOBAL,MINGASINT,2028,300.18257871981274
GLOBAL,MINGASINT,2029,392.8861162248234
GLOBAL,MINGASINT,2030,726.6198904350331
GLOBAL,MINGASINT,2031,1389.0023311939458
GLOBAL,MINGASINT,2032,1846.5318201265052
GLOBAL,MINGASINT,2033,2043.610402988206
GLOBAL,MINGASINT,2034,2218.591168555521
GLOBAL,MINGASINT,2035,1773.2042410776487
GLOBAL,MINGASINT,2036,2150.95347529069
GLOBAL,MINGASINT,2037,2310.7368210392374
GLOBAL,MINGASINT,2038,2592.380048754574
GLOBAL,MINGASINT,2039,2746.864824257821
GLOBAL,MINGASINT,2040,2755.6308954928286
GLOBAL,MINGASINT,2041,2640.4404986619343
GLOBAL,MINGASINT,2042,2517.12603047969
GLOBAL,MINGASINT,2043,2417.06712706285
GLOBAL,MINGASINT,2044,2329.684934824436
GLOBAL,MINGASINT,2045,2225.2723317313357
GLOBAL,MINGASINT,2046,2129.6572265996638
GLOBAL,MINGASINT,2047,2023.6663887609363
GLOBAL,MINGASINT,2048,1927.1974254845886
GLOBAL,MINGASINT,2049,1861.680982983493
GLOBAL,MINGASINT,2050,1801.351948047862
GLOBAL,MINOILINT,2023,25.888095482247206
GLOBAL,MINOILINT,2024,61.68813143458615
GLOBAL,MINOILINT,2025,30.23990422992626
GLOBAL,MINOILINT,2026,2.459935401614876
GLOBAL,MINOILINT,2027,5.477152295725231
GLOBAL,MINOILINT,2028,8.379012554251332
GLOBAL,MINOILINT,2029,13.068915358688628
GLOBAL,MINOILINT,2030,3.738860296665046
GLOBAL,MINOILINT,2031,2.9087586190822616
GLOBAL,MINOILINT,2032,4.164467312347378
GLOBAL,MINOILINT,2033,8.973180358975426
GLOBAL,MINOILINT,2034,13.751765356244592
GLOBAL,MINOILINT,2035,0.6812428206908713
GLOBAL,MINOILINT,2036,0.6193116551735193
GLOBAL,MINOILINT,2037,12.678624958452172
GLOBAL,MINOILINT,2038,15.223982903764686
GLOBAL,MINOILINT,2039,17.201766470933997
GLOBAL,MINOILINT,2040,43.30403306689944
GLOBAL,MINOILINT,2041,28.9421430079202
GLOBAL,MINOILINT,2042,18.90173634315913
GLOBAL,MINOILINT,2043,24.22389085148702
GLOBAL,MINOILINT,2044,27.732273715102266
GLOBAL,MINOILINT,2045,26.91340485770634
GLOBAL,MINOILINT,2046,25.97961077677
GLOBAL,MINOILINT,2047,22.488646198984952
GLOBAL,MINOILINT,2048,17.566532126409214
GLOBAL,MINOILINT,2049,15.145966811653034
GLOBAL,MINOILINT,2050,12.365506037134946
GLOBAL,MINPETINT,2032,7.211115879384519
GLOBAL,MINPETINT,2033,25.371221686879185
GLOBAL,MINPETINT,2034,35.80009863853805
GLOBAL,MINPETINT,2036,19.7011566952654
GLOBAL,MINPETINT,2037,35.11352277666247
GLOBAL,MINPETINT,2038,41.47713531837702
GLOBAL,MINPETINT,2039,35.404018869411274
GLOBAL,MINPETINT,2040,46.33239623303314
GLOBAL,MINPETINT,2041,37.92276447190397
GLOBAL,MINPETINT,2042,29.69897600320846
GLOBAL,MINPETINT,2043,22.41213551047938
GLOBAL,MINPETINT,2044,16.89072856984259
GLOBAL,MINPETINT,2045,16.22776657238635
GLOBAL,MINPETINT,2046,15.589159479542822
GLOBAL,MINPETINT,2047,12.567146315934826
GLOBAL,MINPETINT,2048,10.98127097320328
GLOBAL,MINPETINT,2049,11.45518708768522
GLOBAL,MINPETINT,2050,11.92342939629262
GLOBAL,MINURNINT,2023,1168.8968097612487
GLOBAL,MINURNINT,2024,1304.1410687418888
GLOBAL,MINURNINT,2025,1870.5861794075577
GLOBAL,MINURNINT,2026,1783.5401227297964
GLOBAL,MINURNINT,2027,1634.048121132238
GLOBAL,MINURNINT,2028,1516.2474613244187
GLOBAL,MINURNINT,2029,1549.3050898252507
GLOBAL,MINURNINT,2030,1445.9564971276156
