REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOAINT,2023,92344.5558919337
GLOBAL,MINCOAINT,2024,88032.57009432289
GLOBAL,MINCOAINT,2025,80712.27985320821
GLOBAL,MINCOAINT,2026,74952.0598300756
GLOBAL,MINCOAINT,2027,71291.41004594325
GLOBAL,MINCOAINT,2028,68718.60878382422
GLOBAL,MINCOAINT,2029,66127.69800774363
GLOBAL,MINCOAINT,2030,61856.54271514826
GLOBAL,MINCOAINT,2031,58361.20161612781
GLOBAL,MINCOAINT,2032,55453.50735050044
GLOBAL,MINCOAINT,2033,53000.16053926109
GLOBAL,MINCOAINT,2034,50460.10255993521
GLOBAL,MINCOAINT,2035,47934.73703425917
GLOBAL,MINCOAINT,2036,45358.91173002954
GLOBAL,MINCOAINT,2037,43153.73848056838
GLOBAL,MINCOAINT,2038,40838.40923847215
GLOBAL,MINCOAINT,2039,38651.53919253702
GLOBAL,MINCOAINT,2040,36657.3618421356
GLOBAL,MINCOAINT,2041,34765.2410680635
GLOBAL,MINCOAINT,2042,33030.26121056627
GLOBAL,MINCOAINT,2043,31337.756500372026
GLOBAL,MINCOAINT,2044,29769.55674530929
GLOBAL,MINCOAINT,2045,28319.699728211763
GLOBAL,MINCOAINT,2046,26900.747909617825
GLOBAL,MINCOAINT,2047,25561.23556778687
GLOBAL,MINCOAINT,2048,24286.86857296347
GLOBAL,MINCOAINT,2049,23175.327544544798
GLOBAL,MINCOAINT,2050,22240.897654349705
GLOBAL,MINGASINT,2023,571.010133229232
GLOBAL,MINGASINT,2024,519.1900833322857
GLOBAL,MINGASINT,2025,293.2093105274607
GLOBAL,MINGASINT,2026,323.48766389806116
GLOBAL,MINGASINT,2027,320.3836874245692
GLOBAL,MINGASINT,2028,299.7845590801037
GLOBAL,MINGASINT,2029,392.3890262760911
GLOBAL,MINGASINT,2030,725.8138349104661
GLOBAL,MINGASINT,2031,1387.8420403619173
GLOBAL,MINGASINT,2032,1845.130931963154
GLOBAL,MINGASINT,2033,2042.147290585506
GLOBAL,MINGASINT,2034,2217.0877104235874
GLOBAL,MINGASINT,2035,1771.809944258537
GLOBAL,MINGASINT,2036,2149.4792888966845
GLOBAL,MINGASINT,2037,2309.2819024869914
GLOBAL,MINGASINT,2038,2590.912716990105
GLOBAL,MINGASINT,2039,2745.398833307436
GLOBAL,MINGASINT,2040,2754.2333921427157
GLOBAL,MINGASINT,2041,2639.1128902232745
GLOBAL,MINGASINT,2042,2515.8672962490796
GLOBAL,MINGASINT,2043,2415.8737808862465
GLOBAL,MINGASINT,2044,2328.551512045763
GLOBAL,MINGASINT,2045,2224.195486199822
GLOBAL,MINGASINT,2046,2128.637032153644
GLOBAL,MINGASINT,2047,2022.6999811635167
GLOBAL,MINGASINT,2048,1926.2819724967062
GLOBAL,MINGASINT,2049,1860.8138277913094
GLOBAL,MINGASINT,2050,1800.5377907956092
GLOBAL,MINOILINT,2023,25.873092410130237
